rdo,city_municipality,barangay,street_subdivision,vicinity,classification,zonal_value
80,MANDAUE CITY,BASAK,JOSE RIZAL ST. (NATIONAL HIGHWAY),,RR,18100.0
80,MANDAUE CITY,BASAK,JOSE RIZAL ST. (NATIONAL HIGHWAY),,I,29130.0
80,MANDAUE CITY,BASAK,JOSE RIZAL ST. (NATIONAL HIGHWAY),INTERIOR-CAR ACCESS,RR,14220.0
80,MANDAUE CITY,BASAK,FATIMA ROAD,CEBU NORTH ROAD-LABOGON,CR,25630.0
80,MANDAUE CITY,BASAK,FATIMA ROAD,,RR,15380.0
80,MANDAUE CITY,BASAK,FATIMA ROAD,,I,23070.0
80,MANDAUE CITY,BASAK,FATIMA ROAD,INTERIOR,RR,6150.0
80,MANDAUE CITY,BASAK,P. SANCHEZ ST. (PAGSABUNGAN ROAD),JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BOUNDARY OF BARANGAY PAGSABUNGAN,CR,18900.0
80,MANDAUE CITY,BASAK,P. SANCHEZ ST. (PAGSABUNGAN ROAD),,RR,10820.0
80,MANDAUE CITY,BASAK,P. SANCHEZ ST. (PAGSABUNGAN ROAD),,I,15700.0
80,MANDAUE CITY,BASAK,P. SANCHEZ ST. (PAGSABUNGAN ROAD),INTERIOR-CAR ACCESS,RR,6570.0
80,MANDAUE CITY,BASAK,PALM HILLS ROAD,JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BOUNDARY OF BARANGAY PAGSABUNGAN,CR,16950.0
80,MANDAUE CITY,BASAK,PALM HILLS ROAD,,I,15440.0
80,MANDAUE CITY,BASAK,PALM HILLS ROAD,,RR,12650.0
80,MANDAUE CITY,BASAK,PALM HILLS ROAD,INTERIOR-CAR ACCESS,RR,9110.0
80,MANDAUE CITY,BASAK,J. ALINSUG ST. (FORMERLY BASAK - DUNGOAN),JOSE RIZAL ST. (NATIONAL HIGHWAY) TO DECA HOMES SUBDIVISION,CR,18900.0
80,MANDAUE CITY,BASAK,J. ALINSUG ST. (FORMERLY BASAK - DUNGOAN),,I,15750.0
80,MANDAUE CITY,BASAK,J. ALINSUG ST. (FORMERLY BASAK - DUNGOAN),,RR,10500.0
80,MANDAUE CITY,BASAK,J. ALINSUG ST. (FORMERLY BASAK - DUNGOAN),INTERIOR-CAR ACCESS,RR,7290.0
80,MANDAUE CITY,BASAK,E. LLENES ST.,JOSE RIZAL ST. (NATIONAL HIGHWAY) TO BARANGAY LABOGON,CR,16500.0
80,MANDAUE CITY,BASAK,E. LLENES ST.,,I,15720.0
80,MANDAUE CITY,BASAK,E. LLENES ST.,,RR,12570.0
80,MANDAUE CITY,BASAK,E. LLENES ST.,INTERIOR-CAR ACCESS,RR,8600.0
80,MANDAUE CITY,BASAK,ALL OTHER STREETS,,CR,12300.0
80,MANDAUE CITY,BASAK,ALL OTHER STREETS,,RR,8540.0
80,MANDAUE CITY,BASAK,ALL OTHER STREETS,,I,10250.0
80,MANDAUE CITY,BASAK,ALL OTHER STREETS,INTERIOR,RR,5130.0
80,MANDAUE CITY,BASAK,"PENTAGON LAND, INC.",J. ALINSUG ST.,RR,18450.0
80,MANDAUE CITY,BASAK,COACO SUBDIVISIONS,,RR,9070.0
80,MANDAUE CITY,BASAK,CONSUELO VILLAGE,,RR,13490.0
