property_id,price_type,property_name,address,city,property_type,latitude,longitude,price_php,price_per_sqm,log_price,valuation_gap,area_sqm,bedrooms,bathrooms,bedrooms_imputed,bathrooms_imputed,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_airport_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,mcrai_composite,bir_zonal_rr_median,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
3102,open_market,FOR SALE,"South Osmeña Street, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,Condominium,10.301376400640509,123.96012018206176,600000.0,17647.058823529413,9.778324409582122,7647.058823529413,34.0,2.0,1.0,0,0,9640.1,7273.6,2115.4,16216.2,20514.4,10918.9,30031.1,2163.2,3821,82,16.9783,39.942,53.728,1.7245,49.7228,9.5709,22.8303,58.3123,32.4077,10000.0,9.210440366976515,15000.0,1,2074750.0
3111,open_market,Income Generating Apartment For Sale,"A. Lopez Street, Cebu City, Cebu, Philippines",Cebu City,Condominium,10.3015759,123.8845411,25000000.0,62500.0,11.042921835724492,43000.0,400.0,3.0,2.0,0,0,3397.8,7332.4,11934.6,5474.8,9685.5,14614.2,19202.2,10351.7,3050,910,23.0843,16.0319,22.6637,4.1709,15.5895,5.059,27.5976,13.7262,19.3105,19500.0,9.87822102528824,26250.0,0,5156267.0
3114,open_market,LOFT TYPE UNIT FOR SALE IN PACIFIC GRANDE RESIDENCES,"Pacific Grande Residences, Lapu-Lapu City, Cebu, Philippines",Lapu-Lapu City,Condominium,10.3017096,123.9605242,2200000.0,88000.0,11.385092093460344,78000.0,25.0,1.0,1.0,0,0,9640.1,7273.6,2115.4,16216.2,20514.4,10918.9,30031.1,2110.1,3821,82,16.9783,39.942,53.728,1.7245,49.7228,9.5709,22.8303,58.3123,32.4077,10000.0,9.210440366976515,15000.0,1,1674750.0
3115,open_market,Tambuli 1-BR,"TAMBULI SEASIDE RESORT AND SPA, Buyong Road, Maribago, Lapu-Lapu City, Cebu, Philippines",Cebu City,Condominium,10.3019426,123.872627,9000000.0,190556.84946008897,12.157705851392468,177736.84946008894,47.23,1.0,1.0,0,0,5254.6,9189.1,12913.8,4459.8,8437.1,15725.8,17953.9,11650.9,3092,1633,16.9568,27.5975,21.5009,1.8324,12.1357,3.3842,9.1922,50.097,19.795,12820.0,9.4588397305527,21320.0,0,
3119,open_market,2 Bedroom at One Oasis Condominium,"One Oasis Cebu, Pres. Magsaysay Street, Cebu City, Cebu, Philippines",Cebu City,Condominium,10.3021643,123.8609068,5600000.0,155124.65373961217,11.951984290366543,150022.65373961217,36.1,2.0,1.0,0,0,7255.7,11190.2,14914.9,4926.1,8420.4,17726.9,17937.1,12930.5,4156,2530,3.0765,1.736,1.8257,0.4806,0.0,0.0,3.1034,0.0,1.9741,5102.0,8.537583881063972,6916.0,0,
3120,open_market,CONDO FOR SALE AT INDIANA CONDOTEL JAKOSALEM STREET RAMOS CEBU CITY!,"Jakosalem Street, Cebu City, Cebu, Philippines",Cebu City,Condominium,10.3023118,123.9005693,2000000.0,52631.57894736842,10.871071578797833,23631.57894736842,38.0,1.0,1.0,0,0,2051.2,5987.2,9617.3,6018.3,10316.5,12403.8,19833.3,8596.5,1081,0,88.2581,142.8537,97.3417,8.4732,51.9709,16.4148,158.2833,66.1198,100.2735,29000.0,10.275085591132717,68000.0,0,14322708.0
3122,open_market,Apartment building for sale,"Sikatuna Street, Cebu City, Cebu, Philippines",Cebu City,Condominium,10.3026114,123.9019284,45000000.0,111111.11111111112,11.618285980628055,82111.11111111111,405.0,3.0,3.0,0,0,1879.6,5832.1,9486.6,6170.1,10468.3,12248.7,19985.0,8446.0,951,0,76.0485,135.2406,81.9217,6.7806,53.0759,15.1719,146.9847,54.7288,92.4345,29000.0,10.275085591132717,68000.0,0,4163611.0
3124,open_market,1 bedroom condo for sale in calamba cebu,calamba cebu,Cebu City,Condominium,10.3027794,123.8864721,4512534.0,203267.2972972973,12.222277127342693,183767.2972972973,22.2,1.0,,0,1,3064.5,6999.0,11601.3,5141.4,9439.6,14280.8,18956.4,10133.5,2716,577,35.0296,35.3673,40.0912,6.4709,34.0474,6.0183,41.5606,23.2961,35.4185,19500.0,9.87822102528824,26250.0,0,25000000.0
3129,open_market,2 bedroom condo for sale in the galleria residences tejero cebu,the galleria residences tejero cebu,Cebu City,Condominium,10.3029824,123.9112593,18700000.0,242857.14285714287,12.40022865997113,190607.14285714287,77.0,2.0,2.0,0,0,2123.8,5491.8,8379.4,7211.2,11509.4,11883.9,21026.2,7424.6,0,968,31.6388,70.2318,40.1587,2.9672,17.5963,5.5891,50.2735,26.994,42.2789,52250.0,10.863814308399895,99500.0,0,7352172.0
3134,open_market,Club ultima condo loft type for sale,"Osme?a Boulevard, Cebu City, Cebu, Philippines",Cebu City,Condominium,10.3037,123.8953958,5500000.0,82089.55223880598,11.315566030811734,52089.552238805976,67.0,0.0,1.0,0,0,2262.1,6196.7,10463.0,5980.0,10278.2,13165.5,19794.9,9153.5,1876,450,77.9894,127.2801,106.088,21.0876,40.5472,9.7516,156.1817,92.2017,87.7744,30000.0,10.308985993422082,36000.0,0,7182929.0
