property_id,city,stratum,latitude,longitude,area_sqm,price_per_sqm,pred_price_per_sqm,bir_zonal_rr_median,listing_gap,model_gap,listing_gap_pct,model_gap_pct
139,Mandaue City,Condominium,10.3222542,123.9367941,58.0,269795.2413793103,156546.63963119496,21150.0,248645.24137931032,135396.63963119496,1175.627618814706,640.1732370269266
140,Lapu-Lapu City,Condominium,10.28410958,123.97552209,30.0,205566.4,99270.03368665368,10000.0,195566.4,89270.03368665368,1955.6639999999998,892.7003368665368
141,Lapu-Lapu City,Condominium,10.28410958,123.97552209,30.0,175651.43333333332,99270.03368665368,10000.0,165651.43333333332,89270.03368665368,1656.514333333333,892.7003368665368
143,Lapu-Lapu City,Condominium,10.2899858,124.0068711,92.0,231989.13043478265,185485.9925188259,5000.0,226989.13043478265,180485.9925188259,4539.782608695653,3609.7198503765176
144,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,218404.48,103265.24865803578,10000.0,208404.48,93265.24865803578,2084.0448,932.6524865803577
146,Cebu City,Condominium,10.27000631,123.87247402,30.0,183333.33333333337,202209.35657245666,17500.0,165833.33333333337,184709.35657245666,947.6190476190478,1055.4820375568952
149,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,174147.84,103265.24865803578,10000.0,164147.84,93265.24865803578,1641.4784000000002,932.6524865803577
152,Lapu-Lapu City,Condominium,10.2909978,124.0070746,72.0,243194.44444444444,206655.57975897618,5000.0,238194.44444444444,201655.57975897618,4763.888888888889,4033.111595179523
153,Cebu City,Condominium,10.31557373,123.9053366,25.0,260000.0,194707.41512474866,51250.0,208750.0,143457.41512474866,407.3170731707317,279.9169075604852
154,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,176762.04,103265.24865803578,10000.0,166762.04,93265.24865803578,1667.6204000000002,932.6524865803577
159,Lapu-Lapu City,Condominium,10.28986648,124.00575829,31.0,193102.4516129032,159617.76838402986,5000.0,188102.4516129032,154617.76838402986,3762.0490322580645,3092.355367680597
160,Lapu-Lapu City,Condominium,10.29519186758621,124.0144034475088,45.0,200000.0,168343.36989195363,5000.0,195000.0,163343.36989195363,3900.0,3266.867397839073
161,Cebu City,Condominium,10.3173504,123.9059978,259.0,177606.1776061776,278698.6854316069,51250.0,126356.1776061776,227448.6854316069,246.54863923156606,443.80231303728175
162,Lapu-Lapu City,Condominium,10.28986648,124.00575829,75.0,200000.0,193425.83102016506,5000.0,195000.0,188425.83102016506,3900.0,3768.516620403301
163,Cebu City,Condominium,10.3173504,123.9059978,108.0,279279.2037037037,230550.35772835874,51250.0,228029.2037037037,179300.35772835874,444.9350316169828,349.854356543139
164,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,180739.92,103265.24865803578,10000.0,170739.92,93265.24865803578,1707.3992,932.6524865803577
165,Cebu City,Condominium,10.3338299,123.8941434,56.0,240102.85714285713,198644.54380737978,30000.0,210102.85714285713,168644.54380737978,700.342857142857,562.1484793579326
166,Lapu-Lapu City,Condominium,10.30416,124.007026,51.0,117607.8431372549,160503.37090161932,5000.0,112607.8431372549,155503.37090161932,2252.156862745098,3110.0674180323863
167,Lapu-Lapu City,Condominium,10.3231321,124.0349024,169.0,291211.8461538461,384180.7664717599,7000.0,284211.8461538461,377180.7664717599,4060.16923076923,5388.2966638822845
168,Cebu City,Condominium,10.318237,123.9052295,128.0,365218.75,252837.53062525173,51250.0,313968.75,201587.53062525173,612.6219512195122,393.3415231712229
169,Lapu-Lapu City,Condominium,10.28410958,123.97552209,25.0,176364.6,103265.24865803578,10000.0,166364.6,93265.24865803578,1663.646,932.6524865803577
170,Cebu City,Condominium,10.33280355,123.90906928,23.0,208695.65217391303,206685.90298931833,28800.0,179895.65217391303,177885.90298931833,624.6376811594203,617.6593853795775
174,Cebu City,Condominium,10.32962093,123.90970479,54.0,238676.53703703705,208359.69794998723,30000.0,208676.53703703705,178359.69794998723,695.5884567901235,594.5323264999574
176,Lapu-Lapu City,Condominium,10.33005475,124.04013073,50.0,110000.0,207539.34545660578,7000.0,103000.0,200539.34545660578,1471.4285714285713,2864.8477922372253
180,Cebu City,Condominium,10.33194,123.900217,56.0,223214.2857142857,177437.8057837806,30000.0,193214.2857142857,147437.8057837806,644.047619047619,491.459352612602
181,Cebu City,Condominium,10.33099833,123.90308661,48.0,226958.33333333337,181403.53601868232,30000.0,196958.33333333337,151403.53601868232,656.5277777777779,504.67845339560773
182,Lapu-Lapu City,Condominium,10.33005475,124.04013073,63.0,87301.58730158731,191002.29514749272,7000.0,80301.58730158731,184002.29514749272,1147.1655328798188,2628.604216392753
184,Cebu City,Condominium,10.315373,123.908492,96.0,166666.66666666666,184869.93182796752,195250.0,-28583.333333333343,-10380.06817203248,-14.639351259069574,-5.3162961188386575
186,Cebu City,Condominium,10.32316469,123.91120627,24.0,116666.66666666669,169718.64916599993,30000.0,86666.66666666669,139718.64916599993,288.88888888888897,465.7288305533331
187,Cebu City,Condominium,10.3293875,123.9069196,211.0,386729.8578199052,222398.8995250199,30000.0,356729.8578199052,192398.8995250199,1189.0995260663508,641.3296650833996
190,Lapu-Lapu City,Condominium,10.33005475,124.04013073,42.0,76190.47619047618,206081.8311796345,7000.0,69190.47619047618,199081.8311796345,988.4353741496599,2844.0261597090644
194,Lapu-Lapu City,Condominium,10.32856283,124.0412664,174.0,143678.16091954024,157352.84699444138,7000.0,136678.16091954024,150352.84699444138,1952.5451559934322,2147.8978142063056
196,Cebu City,Condominium,10.315001,123.907781,50.0,150000.0,201200.4545610054,195250.0,-45250.0,5950.454561005405,-23.175416133162614,3.0476079697850986
