hub_id,place_id,name,types,lat,lon,rating,vicinity
cebu_business_park,ChIJGbVDRkuZqTMRn9kwJo_uIp8,Mango Mall,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3107235,123.8956936,2.5,"8V6W+77P, General Maxilom Avenue, Cebu City"
cebu_business_park,ChIJ1Ry-32yZqTMR2sXa-G5uJig,APM Centrale,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3129546,123.9165813,4.2,"8W78+5JP, A. Soriano Avenue, Cebu City"
cebu_business_park,ChIJ1eEahvuZqTMRV7eLdWBr00s,Ayala Malls Central Bloc,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3306811,123.9073198,4.5,"Central Bloc, I. Villa Street, Cebu City"
cebu_business_park,ChIJxXYmYACZqTMROtEwI6ZXXyM,The Blissbox by Melie,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3307927,123.9070437,,"Central Bloc, V. Padriga Street, Cebu City"
cebu_business_park,ChIJf7zN9R6ZqTMRbqBZJfgxaBk,Virtual assistant Philippines agency,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3307927,123.9070437,4.3,"V. Padriga St Central Bloc Mall) - 11th Floor, Lahug, Cebu City"
cebu_business_park,ChIJT3yEfFGZqTMRC9YpshEJfuM,아이티파크 아얄라몰 세부시티,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.3307484,123.9075315,3.9,"8WJ5+72V, Cebu City"
cebu_business_park,ChIJV1PnoE-ZqTMRK4MZ8ZJ1IIE,"Dr. Pelita Abrogan - Rain Tree Mall, Cebu","[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.309444,123.895278,,"Room 106 Rain Tree Mall, F. Ramos Street corner General Maxilom Avenue, Cebu City, Cebu"
cebu_business_park,ChIJ0VxoxCWZqTMR-wK_xK3ZOzA,Ja’S Ur F.A.B,"[""shopping_mall"", ""point_of_interest"", ""establishment""]",10.330074,123.898755,4.0,"Ground Floor, JY Square Mall, 1 Salinas Drive, Cebu City"
cebu_business_park,ChIJsSo0UuCbqTMRfb-DRQJk5Wo,Department of Labor and Employment - Region VII Central Visayas,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3108055,123.9042661,3.7,"DOLE-RO7 Building, General Maxilom Avenue, cor Gorordo Avenue, Cebu City"
cebu_business_park,ChIJfV3PNzmZqTMRwMIvBLzg3nA,Automobile Association Philippines - Cebu Satellite Office,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3196794,123.9019363,4.6,"105, CRM Building Escario, corner Molave Street, Cebu City"
cebu_business_park,ChIJXeC1zzyZqTMRmblreI1yj3s,Philippine Retirement Authority - VISAYAS (CEBU) Satellite Office,"[""local_government_office"", ""point_of_interest"", ""establishment""]",10.3143515,123.9055092,4.6,"Unit C1-12F, 2QUAD Building, Cebu Business Park, Cardinal Rosales Avenue, Cebu City"
