property_id,price_type,property_name,address,city,property_type,latitude,longitude,price_php,price_per_sqm,log_price,valuation_gap,area_sqm,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_airport_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,mcrai_composite,bir_zonal_rr_median,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
1968,open_market,Residential Lot For Sale in Cebu,"Amethyst, Talamban, Cebu City, Cebu, Central Visayas, PHL",Cebu City,Vacant Lot,10.36171,123.911374,12750000.0,51000.0,10.839580911706463,24625.0,250.0,6052.3,3739.4,9042.3,13786.7,18084.9,7753.3,27601.7,9563.6,5847,4782,10.2753,26.7635,11.1057,0.664,3.0018,2.0794,6.6494,19.5738,14.4929,26375.0,10.180209784751566,68100.0,0,35932167.0
1990,open_market,Land For Sale in Jagobiao,"Jagobiao, Mandaue City, Lalawigan ng Cebu, Pilipinas",Mandaue City,Vacant Lot,10.3644249,123.9513093,60858000.0,42000.0,10.645424897265505,32790.0,1449.0,8819.9,6272.3,7419.1,15528.4,19826.6,3024.6,29343.3,7047.9,3528,75,11.4911,20.2558,56.5563,1.8373,4.0485,1.5681,8.3086,15.8776,13.0235,9210.0,9.128153700988236,18220.0,0,17520000.0
1992,open_market,Residential Lot For Sale in Nangka,"Tugbongan, Consolacion, Cebu, Central Visayas, PHL",Consolacion,Vacant Lot,10.3666156,123.9602637,9240000.0,35000.0,10.46310334047155,32600.0,264.0,10906.0,8358.4,9505.2,17614.5,21912.7,2723.5,31429.5,6918.1,4257,1324,7.4507,5.0087,14.5844,0.5538,5.3623,0.6012,10.1042,16.037,6.2489,2400.0,7.783640596221253,,0,8934256.0
2000,open_market,Land For Sale in Nangka,"Tugbongan, Consolacion, Cebu, Central Visayas, PHL",Consolacion,Vacant Lot,10.36759102,123.95959196,10462023.0,35951.969072164946,10.489939134171207,33551.969072164946,291.0,10590.3,8042.7,9189.5,17298.8,21597.0,2407.8,31113.7,7043.5,4147,1008,7.7857,8.2563,21.6896,0.7474,13.8572,0.8834,14.656,38.3915,9.405,2400.0,7.783640596221253,,0,9903000.0
2002,open_market,Residential Lot For Sale in Canduman,"Canduman, Mandaue City, Lalawigan ng Cebu, Pilipinas",Mandaue City,Vacant Lot,10.3677899,123.9331874,17775000.0,45000.0,10.714417768752456,35230.0,395.0,7974.9,4296.6,8894.8,15636.1,19934.3,4808.9,29451.0,8397.0,5029,1837,14.2481,23.4688,13.7262,0.447,7.5508,0.0,12.2639,27.0034,16.1419,9770.0,9.187174093944344,15750.0,0,12900000.0
2009,open_market,Residential Lot For Sale in Tugbongan,"Nangka, Consolacion, Cebu, Central Visayas, PHL",Consolacion,Vacant Lot,10.368015,123.967246,25650000.0,15000.0,9.615805480084347,12600.0,1710.0,11855.6,9308.0,10454.8,18564.1,22862.3,1325.3,32379.1,6884.4,2457,1382,4.5416,3.6301,10.8983,0.7502,5.2976,0.0,16.9766,23.6147,4.4585,2400.0,7.783640596221253,,0,20676000.0
2015,open_market,Land For Sale in Talamban,"Talamban, Cebu City, Cebu, Pilipinas",Cebu City,Vacant Lot,10.3693292,123.9169018,13074566.0,52298.264,10.864718456385475,25923.264000000003,250.0,6431.9,4118.9,9421.8,14166.3,18464.5,6882.8,27981.2,9688.7,6227,3911,22.9652,36.6033,17.374,2.0898,1.5145,8.0,5.401,20.8142,23.2298,26375.0,10.180209784751566,68100.0,0,18522842.0
2021,open_market,Land For Sale in Cubacub,"Cubacub, Mandaue City, Lalawigan ng Cebu, Pilipinas",Mandaue City,Vacant Lot,10.3705783,123.9401578,57498000.0,42000.0,10.645424897265505,32230.0,1369.0,9200.2,5521.9,8617.9,16721.1,21019.3,4153.1,30536.1,8229.5,4727,1534,5.774,5.6681,3.7423,0.4271,8.6378,0.0,6.4158,4.0,6.4541,9770.0,9.187174093944344,15750.0,0,21809571.0
2022,open_market,Land For Sale in Cubacub,"Cubacub Street, Mandaue City, Cebu, Pilipinas",Mandaue City,Vacant Lot,10.3709459,123.9394351,4140500.0,24500.0,10.106428396532818,14730.0,169.0,9078.5,5400.2,8739.6,16739.7,21037.9,4274.8,30554.6,8305.5,4849,1656,6.876,5.233,3.8258,0.407,7.8423,0.0,7.2695,5.2398,6.6199,9770.0,9.187174093944344,15750.0,0,29432071.0
2025,open_market,Land For Sale in Nangka,"Nangka Barangay Hall, Nangka Purok 2 Road, Consolacion, Lalawigan ng Cebu, Pilipinas",Consolacion,Vacant Lot,10.3708949,123.958914,16065000.0,9000.0,9.104979856318357,6600.0,1785.0,10288.1,7677.5,8887.3,16996.6,21294.8,1855.9,30811.6,7416.3,3595,602,16.7469,26.5541,62.3718,1.3677,61.5146,1.8536,33.8627,194.3869,30.3033,2400.0,7.783640596221253,,0,24047837.0
2028,open_market,Land For Sale in Nangka,"Nangka Purok 4 Road, Consolacion, Lalawigan ng Cebu, Pilipinas",Consolacion,Vacant Lot,10.3712509,123.9621427,15000000.0,8403.361344537816,9.036387064852745,6003.361344537816,1785.0,10759.7,8149.1,9358.9,17468.2,21766.4,2327.5,31283.1,7357.8,4066,1073,6.9312,8.3119,21.4684,0.764,17.4707,0.8741,20.8986,89.25,9.8443,2400.0,7.783640596221253,,0,9431756.0
2036,open_market,Land For Sale in Poblacion Oriental,"Tugbongan, Consolacion, Cebu, Central Visayas, PHL",Consolacion,Vacant Lot,10.37264004,123.95668432,1500000.0,15000.0,9.615805480084347,10000.0,100.0,10035.1,7424.5,8634.3,16743.6,21041.8,1812.7,30558.6,7675.9,3764,349,18.5826,36.5261,85.3313,1.6357,64.7394,2.8,30.9724,192.182,35.2801,5000.0,8.517393171418904,4000.0,0,14363118.0
2038,open_market,Land For Sale in Casili,"Casili, Consolacion, Consolacion, Cebu, Pilipinas",Consolacion,Vacant Lot,10.3728792,123.9430131,2026500.0,19300.0,9.867860374892977,9530.0,105.0,9992.6,6314.3,9653.8,17653.8,21952.0,3655.3,31468.8,8297.0,5763,1771,4.1098,2.2327,1.1742,0.3587,1.3992,0.0,5.4846,0.0,2.918,9770.0,9.187174093944344,15750.0,0,23459833.0
