property_id,source,price_type,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,geocode_source,price_outlier_flag,price_per_sqm,log_price,dist_cbd_m,dist_airport_m,dist_cbrt_nearest_m,amenity_score_education,amenity_score_health,amenity_score_finance,amenity_score_grocery,amenity_score_transport,amenity_score_security,amenity_score_composite,spatial_lag_price,bir_zonal_value,valuation_gap,dist_cebu_business_park_m,dist_it_park_m,dist_mandaue_cbd_m,dist_mactan_cbd_m,dist_srp_m,dist_talisay_tabunok_m,dist_consolacion_m,dist_naga_city_m,dist_minglanilla_poblacion_m,dist_minglanilla_lipata_m,barangay_geocoded,bir_zonal_rr_median,bir_zonal_cr_median,bir_zonal_rc_median,bir_zonal_rr_log
600,Lamudi,ceiling,Residential Lot For Sale in Cebu,"Beverly Hills Lahug Cebu City, Unnamed Road, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Lot Only,,785.0,,,62800000.0,10.3331125,123.8896094,Lamudi scraper,False,80000.0,17.955465631438425,,10193.9,1317.1,3,1,2,4,0,2,0.0503,22844404.0,,,2332.4,1905.1,3546.6,7093.6,7594.7,11324.7,9440.6,20013.5,13993.1,12207.1,Lahug,30000.0,57000.0,115000.0,10.308985993422082
601,Lamudi,ceiling,Land For Sale in Cebu,"15c Turquoise St, Cebu City, Cebu, Philippines",Cebu City,Residential,,613.0,,,18473000.0,10.36171,123.911374,Lamudi scraper,False,30135.399673735727,16.731820764540775,,9563.6,962.8,4,0,4,18,0,0,0.0676,23182778.0,,,4936.8,3939.2,2475.4,6905.7,11522.9,15272.5,5964.6,23944.2,17923.1,16149.0,Talamban,26375.0,68100.0,117500.0,10.180209784751566
602,Lamudi,ceiling,Commercial For Sale in Tipolo,"Tipolo, Mandaue, Lalawigan ng Cebu, Pilipinas",Mandaue City,Residential,,2004.0,,,90180000.0,10.3286455,123.9306138,Lamudi scraper,False,45000.0,18.317318230957213,,5805.1,2807.5,8,6,27,24,4,2,0.3147,117408365.0,,,3122.7,2726.7,1782.9,2816.2,10071.8,13737.2,6441.8,23153.2,17243.4,15434.6,Tipolo,21150.0,41250.0,60000.0,9.959442464680574
603,Lamudi,ceiling,Condo For Sale in Agus,"Agus Road, Marigondon, Lapu-Lapu City, Cebu, Central Visayas, PHL",Lapu-Lapu City,Condominium,,25.0,1.0,1.0,4468775.0,10.28410958,123.97552209,Lamudi scraper,False,178751.0,15.3126248798144,,2594.3,9530.5,4,1,4,5,0,2,0.0609,11740105.0,,,8653.5,8982.5,8744.4,4216.4,12833.6,15599.3,10354.6,25242.1,19967.5,18308.7,Basak,10000.0,15000.0,62500.0,9.210440366976517
604,Lamudi,ceiling,Condo For Sale in Maribago,"Buyong Road, Lungsod ng Lapu-Lapu, Lalawigan ng Cebu, Pilipinas",Lapu-Lapu City,Condominium,,102.0,2.0,1.0,23419200.0,10.2907917,124.002551,Lamudi scraper,False,229600.0,16.96906675671182,,3157.4,11715.9,2,0,0,0,0,1,0.0177,16721436.0,,,11167.3,11316.8,10565.0,6150.1,15858.5,18646.3,10432.3,28278.7,23015.0,21351.1,Maribago,4125.0,9750.0,112500.0,8.325063693631197
605,Lamudi,ceiling,Residential Lot For Sale in Banilad,"Banilad, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Lot Only,,1091.0,,,98000000.0,10.3518061,123.9053005,Lamudi scraper,False,89825.84784601284,18.400478036634848,,9465.4,856.4,6,5,2,7,0,0,0.1038,90213217.0,,,3775.5,2790.4,2053.6,6586.9,10237.1,13986.4,6962.3,22694.6,16673.1,14892.8,Banilad,41500.0,92500.0,90000.0,10.633472802314019
606,Lamudi,ceiling,Condo For Sale in Mandaue,"Subangdaku, Cebu City, Cebu, Central Visayas, PHL",Mandaue City,Condominium,,46.0,1.0,1.0,12650000.0,10.31183708,123.92724037,Lamudi scraper,False,275000.0,16.353167773137802,,5684.9,3431.0,1,0,4,9,4,0,0.1413,65876602.0,,,2602.5,2873.4,3372.0,2646.7,8699.5,12243.7,8228.1,21808.2,15997.3,14204.4,Subangdaku,23575.0,68750.0,132500.0,10.06798452441753
607,Lamudi,ceiling,Penthouse For Sale in Cebu Business Park,"Luzon Avenue, Hippodromo, Cebu City, Cebu, Central Visayas, PHL",Cebu City,Single Detached,,250.0,3.0,3.0,85000000.0,10.31700135,123.90449353,Lamudi scraper,False,340000.0,18.258161814454592,,8222.5,1241.9,19,18,52,47,2,5,0.5418,25389699.0,,,99.9,1089.1,3262.4,5140.9,7077.2,10810.8,9265.9,20083.4,14141.3,12330.6,Luz,51250.0,206750.0,164500.0,10.844490409005417
608,Lamudi,ceiling,Condo For Sale in Cebu Business Park,"Cebu Business Park, Cebu City, Lalawigan ng Cebu, Pilipinas",Cebu City,Condominium,,65.0,1.0,1.0,12000000.0,10.3173504,123.9059978,Lamudi scraper,False,184615.38461538465,16.300417207752275,,8064.8,1280.7,16,17,48,44,2,5,0.5024,26879046.0,,,199.3,1041.7,3141.7,4979.8,7221.3,10949.7,9123.5,20238.1,14299.7,12489.2,Luz,51250.0,206750.0,164500.0,10.844490409005417
609,Lamudi,ceiling,House For Sale in Tamiao,"Tamiao, Compostela, Cebu, Central Visayas, PHL",Compostela,Single Detached,,,2.0,1.0,6130000.0,10.44724499,123.98910129,Lamudi scraper,False,,15.628705307912394,,15612.6,13365.2,0,0,0,0,0,0,0.0,4823143.0,,,17119.6,16207.9,13924.4,15417.4,24149.0,27913.4,8338.1,36691.6,30672.7,28903.7,Cabadiangan,750.0,,,6.621405651764134
