title,price,location,description,link,latitude,longitude,gmaps_formatted_address
"4BR HOUSE AND LOT FOR SALE IN WHITE PLAINS, QUEZON CITY","PHP 295,000,000",Quezon City,4-storey house with 360 degree roof deck. 3 Bedrooms with Guest room. With swimming pool and elevator. Separate maid's and driver's room with staff lounge.,,14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines"
LAMAYAN STA. ANA PROPERTY FOR SALE,"PHP 181,600,000","Lamayan St., Sta. Ana Manila","Vacant lot along Lamayan St., Sta. Ana Manila",,14.5819313,121.0158027,"Lamayan, Santa Ana, Manila, Metro Manila, Philippines"
"2 BEDROOMS FOR SALE IN FLAIR TOWERS CONDOMINIUM NORTH TOWER, MANDALUYONG","PHP 7,800,000","Reliance, Pines, Mandaluyong, 1550 Metro Manila",2BR,,14.5759241,121.0515343,"Reliance St & Pines, Highway Hills, Mandaluyong City, Metro Manila, Philippines"
8.3 HECTARE LOT TANAUAN (2KM FROM EXIT),"PHP 332,376,000","Natatas Road, Tanauan Batangas",Lot with Old Resthouse Structure,,14.0817287,121.1219669,"Natatas Rd, Tanauan City, Batangas, Philippines"
"6BR HOUSE FOR SALE IN BAYVIEW VILLAGE, PARANAQUE","PHP 179,999,730","Brgy. Tambo, Paranaque City","2-storey house with 6 bedrooms, den and multi-purpose room 2 kitchens and 2 parking slots",,14.515181,120.993263,"GX8V+38C, Seaside Dr, Parañaque, 1701 Metro Manila, Philippines"
"DASMARIÑAS, PALIPARAN FOR SALE","PHP 466,925,000","Paliparan Road, Dasmarinas Cavite","Vacant land along Paliparan Road, Dasmarinas Cavite",,14.3129826,120.9878628,"Paliparan Rd, Dasmariñas, Cavite, Philippines"
"2BR CONDOMINIUM FOR SALE IN CEDAR CREST, TAGUIG","PHP 7,095,000",Taguig,"- 2 Bedrooms - 1 Toilet and bath - With drying area - Floor area: 64.5 SQM - Price: Php 7,095,000",,14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
"STUDIO CONDOMINIUM FOR SALE IN THE GROVE BY ROCKWELL, PASIG CITY","PHP 8,700,000","Brgy. Ugong, Pasig City",Studio unit with balcony,,14.584572,121.070773,"Ugong, Pasig, Metro Manila, Philippines"
"3 BEDROOMS FOR SALE IN AURELIA RESIDENCES, TAGUIG","PHP 169,000,000","5th Ave, Cor McKinley Pkwy, Taguig",3BR,,14.5450384,121.0458359,"5th Ave & McKinley Pkwy, Post Proper Southside, Taguig, Metro Manila, Philippines"
THE PEAK TOWER - 8TH FLOOR,"PHP 124,600,000","107 L.P. Leviste Street, Makati, 1227 Metro Manila",The Peak Tower office units,,14.5600475,121.0194887,"107 L.P. Leviste Street, Makati City, 1227 Metro Manila, Philippines"
"LEGARDA RD., BAGUIO CITY HOTEL FOR SALE","PHP 1,572,945,000","Legarda Road, Baguio City",Hotel Property,,16.4070196,120.5922171,"Legarda Rd, Baguio, Benguet, Philippines"
"DUPLEX HOUSE FOR SALE IN SAN LORENZO VILLAGE, MAKATI CITY","PHP 295,000,000","San Lorenzo Village, Barangay San Lorenzo, Makati City",Duplex House,,14.5501056,121.0221988,"San Lorenzo Village, Makati Ave, Makati City, Metro Manila, Philippines"
NEOPOLITAN BUSINESS PARK COMMERCIAL LOT FOR SALE,"PHP 138,000,000","B2 L12 Neopolitan Business Park, Novaliches, Quezon City",Commercial lot,,14.7296066,121.0584509,"L-5 Belfast, Novaliches, Quezon City, 1118 Metro Manila, Philippines"
"5BR HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 420,000,000","Ayala Alabang Village, Muntinlupa City",5 Bedrooms with den and family room,,14.4051949,121.0249093,"New Alabang Village, Muntinlupa, Metro Manila, Philippines"
"45,000 SQM PROPERTY ALONG GOVERNOR'S DRIVE - BCPI","PHP 1,395,000,000","Carmona, Cavite","45,000 sqm property with 27,000 sqm of structure and 245m Frontage along Governor's Drive,",,14.3134999,121.0571183,"Carmona, Cavite, Philippines"
"C. ALVAREZ ST., NASUGBU, BATANGAS","PHP 17,711,991","C. Alvarez St., Nasugbu, Batangas",Vacant Lot,,14.0722488,120.6306935,"C Alvarez, Nasugbu, Batangas, Philippines"
CONDO FOR SALE - ESSENSA EAST FORBES,"PHP 95,000,000","21st Drive cor. 5th Avenue, BGC, Taguig",along 21st Drive cor. 5th Avenue,,14.5423851,121.0466225,"5th Ave & 21st Dr, Post Proper Southside, Taguig, Metro Manila, Philippines"
"1,061 SQM PRIME PROPERTY FOR SALE IN MAKATI CBD","PHP 1,580,212,766","839 Arnaiz Ave., Legazpi Village, Makati","1,061 sqm Land for Sale - Makati CBD",,14.5513443,121.0178267,"839 Antonio Arnaiz Ave, Legazpi Village, Makati City, 1229 Metro Manila, Philippines"
BGC LOT FOR SALE,"PHP 4,200,000,000","Block 3 Lot 6, 11th Avenue Bonifacio Global City, Taguig","Vacant Lot on 11th Ave., BGC",,14.5522746,121.0538824,"6 11th Ave, Taguig, Metro Manila, Philippines"
NEOPOLITAN BUSINESS PARK COMMERCIAL LOT FOR SALE,"PHP 134,000,000","B2 L7 Neopolitan Business Park, Novaliches, Quezon City",Commercial lot,,14.7296066,121.0584509,"L-5 Belfast, Novaliches, Quezon City, 1118 Metro Manila, Philippines"
3BR GARDEN UNIT IN TWO ROXAS TRIANGLE,"PHP 133,928,569.72","Two Roxas Triangle, Cruzada St., Makati",3BR Garden Unit,,14.5601858,121.0282213,"H26H+37H, Cruzada St, Makati City, Metro Manila, Philippines"
"2BR CONDOMINIUM FOR SALE IN THE RESIDENCES AT GREENBELT, MAKATI","PHP 69,250,000",Makati,"An unfurnished 2 bedroom condominium unit with 4 parking spaces for sale in The Residences at Greenbelt, Makati with a floor area of 182 SQM. This unit is priced at Php 69,250,000.",,14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
BACOOR PROPERTY FOR SALE,PHP NAN,"Molino Boulevard, Bacoor, Cavite","100,000 sqm lot",,14.4339,120.9671407,"Bacoor Blvd, Bacoor, Cavite, Philippines"
"1,695 SQM LAND FOR SALE - N. DOMINGO, QC","PHP 324,574,465.2","N. Domingo St., Quezon City","1,695 Sqm Land for Sale - N. Domingo, QC",,14.614856,121.040173,"N. Domingo, Quezon City, Metro Manila, Philippines"
"2 BEDROOMS WITH BALCONY IN ONE CENTRAL CONDOMINIUM, MAKATI","PHP 13,200,000","Salcedo Village, corner of H.V. dela Costa and Geronimo Streets, Salcedo, Makati, 1227",2BR with balcony,,14.5609178,121.0192695,"Splendido Gardens, Salcedo Village, 146 H.V. Dela Costa, Makati City, 1231 Metro Manila, Philippines"
2BR CONDOMINIUM FOR SALE IN MCKINLEY PARK RESIDENCES TAGUIG,"PHP 12,500,000",Taguig,"- 2 Bedrooms - 2 Toilet and bath - Loft type - Price: Php 12,500,000",,14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
"4512 SQM VILLA FOR SALE IN GUINDULMAN, BOHOL","PHP 175,714,924","Brgy. Basdio, Guindulman, Bohol","4,512 sqm. operational resort villa",,9.741671,124.5140637,"Basdio, Guindulman, Bohol, Philippines"
"3BR TOWNHOUSE FOR SALE IN PROJECT 4, QUEZON CITY","PHP 11,900,000","Project 4, Quezon City",3-Storey townhouse,,14.6207765,121.070773,"Project 4, Quezon City, Metro Manila, Philippines"
"2BR CONDOMINIUM FOR SALE IN ONE EASTWOOD AVENUE, QUEZON CITY","PHP 14,000,000",Quezon City,"An unfurnished 2 bedroom condominium unit for sale in One Eastwood Avenue, Quezon City with a floor area of 69 SQM, priced at Php 14,000,000 plus VAT.",,14.6487853,121.0509385,"Quezon City, Metro Manila, Philippines"
BPI-PHILAM LIFE MAKATI,"PHP 296,010,000",6788 Ayala Avenue (BPI-Philam Life Makati),Office Condominium,,14.5587783,121.0175825,"6788 Ayala Ave, Legazpi Village, Makati City, Metro Manila, Philippines"
"3 BEDROOM HOUSE AND LOT FOR SALE IN AYALA ALABANG VILLAGE, MUNTINLUPA","PHP 238,000,000","Ayala Alabang Village, Barangay Ayala Alabang, Muntinlupa City",3BR and 6 parking,,14.4121255,121.0313443,"Ayala Alabang Village, 349 Santiago St, Ayala Alabang, Muntinlupa, Metro Manila, Philippines"
2BR CONDOMINIUM FOR SALE IN MAKATI TUSCANY,"PHP 30,000,000","Ayala Ave, Makati",2 Bedrooms with 1 parking,,14.5564414,121.0218253,"Ayala Ave, Makati City, Metro Manila, Philippines"
"1 BEDROOM FOR SALE IN STAMFORD EXECUTIVE RESIDENCES TOWER 2, TAGUIG","PHP 7,650,000","Florence Way, Upper McKinley Hl, Taguig, 1634 Metro Manila",1 Bedroom,,14.5347729,121.048485,"Upper McKinley Hl & Florence Wy, Pinagsama, Taguig, Metro Manila, Philippines"
"2BR CONDOMINIUM FOR SALE IN ROSEWOOD POINTE, IVORY BLDG, TAGUIG","PHP 4,560,000","Acacia Estate, Ivory Tower, Rosewood Pointe Levi B. Mariano Ave, Taguig, Metro Manila",2BR with balcony,,14.5285406,121.0629224,"Ivory Tower, Rosewood Pointe, Acacia Estates, Taguig, Metro Manila, Philippines"
"3BR CONDOMINIUM FOR SALE IN TWO ROXAS TRIANGLE, MAKATI","PHP 203,027,119.94",Makati,"A 3 bedroom condominium unit for sale in Two Roxas Triangle, Makati with a floor area of 374 SQM. This unit has 3 parking spaces, amenity floor, a private garden, utility kitchen & maid's room with separate entrance, a walk-in closet in the Master's bedroom, and ensuite bathrooms. This unit is priced at Php PHP 203,571,428.57 plus VAT.",,14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
3 BR FOR SALE IN SHANG GRAND MAKATI,"PHP 75,000,000",dela Rosa St Legazpi Village Makati,3 BR + den,,14.5583879,121.0163678,"Legazpi Street & Dela Rosa Street, San Lorenzo, Makati, Kalakhang Maynila, Philippines"
"1BR CONDOMINIUM FOR SALE IN THE RISE, MAKATI","PHP 5,600,000",Makati,"A furnished 1 bedroom condominium unit for sale in The Rise, Makati with a floor area of 28 SQM priced at Php 5,600,000 plus VAT.",,14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
