title,url,price,location,property_type,area,bedrooms,bathrooms,status,furnishing,posted_on,agent_name,specs,latitude,longitude,gmaps_formatted_address
"Condo For Sale in 25th Street, McKinley Parkway, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/3br-for-sale-in-meranti-two-serendra-ln508477,"PHP 76,000,000","25th Street, McKinley Parkway, Taguig, Metro Manila",,235 m²,3,3,Available from 5 Aug,,23 Oct 11:19,Housing I.,"['PHP 76,000,000', '25th Street, McKinley Parkway, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '235 m²', 'Bathrooms:', '3', 'Available from:', '5 Aug']",14.5476553,121.0483391,"25th St, Post Proper Northside, Taguig, Metro Manila, Philippines"
Land only For Sale in Cavite,https://lifenavi.com/ph/properties/cavite/for-sale/land-only/lot-for-rent-in-imus-cavite-ln975714,"PHP 120,000/ month",,,2.31 m²,Studio,1,Available from 5 Aug,,23 Oct 11:19,Housing I.,"['PHP 120,000/ month', '/ month', 'Imus', 'Bedrooms:', 'Studio', 'Area:', '2.31 m²', 'Bathrooms:', '1', 'Available from:', '5 Aug']",,,
"Condo For Sale in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/3br-for-sale-in-garden-towers-ln905972,"PHP 79,500,000","Makati City, Metro Manila",,218 m²,3,3,Available from 6 Aug,,23 Oct 11:19,Housing I.,"['PHP 79,500,000', 'Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '218 m²', 'Bathrooms:', '3', 'Available from:', '6 Aug']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Land only For Sale in Upper McKinley Hill, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/land-only/lot-for-sale-in-mckinley-hill-village-ln433387,"PHP 81,600,000","Upper McKinley Hill, Taguig, Metro Manila",,00 m²,Studio,1,Available from 6 Aug,,23 Oct 11:19,Housing I.,"['PHP 81,600,000', 'Upper McKinley Hill, Taguig, Metro Manila', 'Bedrooms:', 'Studio', 'Area:', '00 m²', 'Bathrooms:', '1', 'Available from:', '6 Aug']",14.5373458,121.0520638,"Upper McKinley Hl, Taguig, Metro Manila, Philippines"
"Condo For Sale in Taguig, Metro Manila",https://lifenavi.com/ph/properties/taguig/for-sale/condo/3br-for-sale-in-pacific-plaza-towers-ln472118,"PHP 120,000,000","Taguig, Metro Manila",,300 m²,3,3,Available from 8 Aug,,23 Oct 11:19,Housing I.,"['PHP 120,000,000', 'Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '300 m²', 'Bathrooms:', '3', 'Available from:', '8 Aug']",14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
"Industrial building For Sale in 31, Zabarte Road, Quezon City",https://lifenavi.com/ph/properties/quezon-city/for-sale/industrial-building/building-for-sale-in-quezon-city-ln479236,"PHP 86,000,000","31, Zabarte Road, Novaliches, Quezon City, Metro Manila, 1124",,700 m²,,,Vacant,Semi-Furnished,23 Oct 11:19,Housing I.,"['PHP 86,000,000', '31, Zabarte Road, Novaliches, Quezon City, Metro Manila, 1124', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '700 m²', 'Available from:', '11 Aug']",14.7378679,121.0475002,"RV Building, 31 Zabarte Road Novaliches, Novaliches, Quezon City, 1124 Metro Manila, Philippines"
"Shop For Rent in 777, Paseo de Roxas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/shop/parking-lot-for-lease-in-makati-ln989351,"PHP 6,000/ month","777, Paseo de Roxas, Makati City, Metro Manila",,91.88 m²,,,Vacant,Unfurnished,23 Oct 11:19,Housing I.,"['PHP 6,000/ month', '/ month', '777, Paseo de Roxas, Makati City, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Unfurnished', 'Area:', '91.88 m²', 'Available from:', '11 Aug']",14.557446,121.0223558,"Solidbank Building, 777 Paseo de Roxas, Makati City, 1226 Metro Manila, Philippines"
"For Rent in Hippodromo Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/commercial/office-space-for-rentsale-in-the-stiles-enterprise-plaza-ln644677,PHP 165/ month,"Hippodromo Street, Makati City, Metro Manila",,1457 m²,,,Vacant,Semi-Furnished,23 Oct 11:19,Housing I.,"['PHP 165/ month', '/ month', 'Hippodromo Street, Makati City, Metro Manila', 'Status:', 'Vacant', 'Furnishing:', 'Semi-Furnished', 'Area:', '1457 m²', 'Available from:', '11 Aug']",14.572427,121.0178421,"Hippodromo St, Carmona, Makati City, Metro Manila, Philippines"
"Condo For Rent in 10-C, Ayala Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-lease-in-pacific-plaza-ayala-ln463964,"PHP 150,000/ month","10-C, Ayala Avenue, Makati City, Metro Manila, 1200",,285 m²,3,3,Available from 12 Aug,,23 Oct 11:19,Housing I.,"['PHP 150,000/ month', '/ month', '10-C, Ayala Avenue, Makati City, Metro Manila, 1200', 'Bedrooms:', '3', 'Area:', '285 m²', 'Bathrooms:', '3', 'Available from:', '12 Aug']",14.552203,121.028134,"10-C Ayala Ave, Makati City, 1200 Metro Manila, Philippines"
"Condo For Sale in Cruzada Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/3br-for-sale-in-two-roxas-triangle-ln285293,"PHP 182,000,000","Cruzada Street, Makati City, Metro Manila",,326 m²,3,3,Available from 12 Aug,,23 Oct 11:19,Housing I.,"['PHP 182,000,000', 'Cruzada Street, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '326 m²', 'Bathrooms:', '3', 'Available from:', '12 Aug']",14.5602124,121.0284584,"Cruzada St, Urdaneta, Makati City, Metro Manila, Philippines"
"Condo For Rent in cor, 3rd Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-lease-in-the-suites-ln285384,"PHP 400,000/ month","cor, 3rd Avenue, Taguig, Metro Manila",,212 m²,3,3,Available from 12 Aug,,23 Oct 11:19,Housing I.,"['PHP 400,000/ month', '/ month', 'cor, 3rd Avenue, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '212 m²', 'Bathrooms:', '3', 'Available from:', '12 Aug']",14.484207,121.0512433,"3rd Ave, Bagumbayan, Taguig, Metro Manila, Philippines"
"Land only For Sale in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-sale/land-only/lot-for-sale-in-dasmarinas-village-ln138273,"PHP 1,100,000,000","Makati City, Metro Manila",,1792 m²,1,1,Available from 12 Aug,,23 Oct 11:18,Housing I.,"['PHP 1,100,000,000', 'Makati City, Metro Manila', 'Bedrooms:', '1', 'Area:', '1792 m²', 'Bathrooms:', '1', 'Available from:', '12 Aug']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Rent in Taguig, Metro Manila",https://lifenavi.com/ph/properties/taguig/for-rent/condo/2br-for-lease-in-two-serendra-ln726337,"PHP 115,000/ month","Taguig, Metro Manila",,100 m²,2,3,Available from 12 Aug,,23 Oct 11:18,Housing I.,"['PHP 115,000/ month', '/ month', 'Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '100 m²', 'Bathrooms:', '3', 'Available from:', '12 Aug']",14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
"Land only For Sale in City of Santa Rosa, Calabarzon",https://lifenavi.com/ph/properties/city-of-santa-rosa/for-sale/land-only/lot-for-sale-in-solen-residence-greenfield-ln747504,"PHP 9,990,000","City of Santa Rosa, Calabarzon",,00 m²,Studio,1,Available from 13 Aug,,23 Oct 11:18,Housing I.,"['PHP 9,990,000', 'City of Santa Rosa, Calabarzon', 'Bedrooms:', 'Studio', 'Area:', '00 m²', 'Bathrooms:', '1', 'Available from:', '13 Aug']",14.3147078,121.1123219,"City of Santa Rosa, Laguna, Philippines"
"Condo For Rent in 25th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-lease-in-one-mckinley-place-ln749323,"PHP 200,000/ month","25th Street, Taguig, Metro Manila",,186 m²,3,3,Available from 14 Aug,,23 Oct 11:18,Housing I.,"['PHP 200,000/ month', '/ month', '25th Street, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '186 m²', 'Bathrooms:', '3', 'Available from:', '14 Aug']",14.5476553,121.0483391,"25th St, Post Proper Northside, Taguig, Metro Manila, Philippines"
"Condo For Rent in Chateau Road, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-lease-in-st-moritz-private-estate-ln423033,"PHP 270,000/ month","Chateau Road, Taguig, Metro Manila",,220 m²,3,3,Available from 14 Aug,,23 Oct 11:18,Housing I.,"['PHP 270,000/ month', '/ month', 'Chateau Road, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '220 m²', 'Bathrooms:', '3', 'Available from:', '14 Aug']",14.5372936,121.0430016,"Chateau Rd, Fort Bonifacio, Taguig, Metro Manila, Philippines"
"Condo For Rent in 26th Street, Taguig",https://lifenavi.com/ph/properties/taguig/for-rent/condo/3br-for-lease-in-two-maridien-ln276949,"PHP 150,000/ month","26th Street, Taguig, Metro Manila",,128 m²,3,3,Available from 14 Aug,,23 Oct 11:18,Housing I.,"['PHP 150,000/ month', '/ month', '26th Street, Taguig, Metro Manila', 'Bedrooms:', '3', 'Area:', '128 m²', 'Bathrooms:', '3', 'Available from:', '14 Aug']",14.5479522,121.050241,"26th St, Taguig, Metro Manila, Philippines"
"Condo For Rent in 8, Forbestown Road, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-lease-in-8-forbestown-road-ln490028,"PHP 180,000/ month","8, Forbestown Road, Makati City, Metro Manila",,144 m²,3,3,Available from 14 Aug,,23 Oct 11:18,Housing I.,"['PHP 180,000/ month', '/ month', '8, Forbestown Road, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '144 m²', 'Bathrooms:', '3', 'Available from:', '14 Aug']",14.5503671,121.0436467,"8 Forbestown Rd, Makati City, Metro Manila, Philippines"
"Condo For Rent in 1634, 8th Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-in-grand-hyatt-residences-ln604125,"PHP 180,000/ month","1634, 8th Avenue, Makati City, Metro Manila",,120 m²,2,2,Available from 14 Aug,,23 Oct 11:18,Housing I.,"['PHP 180,000/ month', '/ month', '1634, 8th Avenue, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '120 m²', 'Bathrooms:', '2', 'Available from:', '14 Aug']",14.5560313,121.0515133,"1634 8th Avenue, Makati City, Metro Manila, Philippines"
"Condo For Rent in 8, Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-rent-in-makati-ln587653,"PHP 250,000/ month","8, Rockwell Drive, Makati City, Metro Manila",,247 m²,3,4,Available from 14 Aug,,23 Oct 11:18,Housing I.,"['PHP 250,000/ month', '/ month', '8, Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '247 m²', 'Bathrooms:', '4', 'Available from:', '14 Aug']",14.5634004,121.0366939,"8 Rockwell Dr, Makati City, 1209 Metro Manila, Philippines"
"Condo For Rent in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-in-one-maridien-ln775541,"PHP 120,000/ month","Makati City, Metro Manila",,90 m²,2,2,Available from 14 Aug,,23 Oct 11:18,Housing I.,"['PHP 120,000/ month', '/ month', 'Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '90 m²', 'Bathrooms:', '2', 'Available from:', '14 Aug']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Rent in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-lease-in-one-rockwell-west-ln614329,"PHP 140,000/ month","Rockwell Drive, Makati City, Metro Manila",,137 m²,3,2,Available from 14 Aug,,23 Oct 11:18,Housing I.,"['PHP 140,000/ month', '/ month', 'Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '137 m²', 'Bathrooms:', '2', 'Available from:', '14 Aug']",14.5629466,121.0357982,"Rockwell Dr, Makati City, Metro Manila, Philippines"
"Condo For Rent in 56, Estrella, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-rent-in-joya-lofts-and-towers-ln458830,"PHP 110,000/ month","56, Estrella, Makati City, Metro Manila",,115 m²,2,1,Available from 15 Aug,,23 Oct 11:18,Housing I.,"['PHP 110,000/ month', '/ month', '56, Estrella, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '115 m²', 'Bathrooms:', '1', 'Available from:', '15 Aug']",14.562112,121.0391933,"56 Estrella, Makati City, 1209 Metro Manila, Philippines"
"House and Lot For Rent in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-rent/house-and-lot/3br-for-rent-in-dasmarinas-village-ln903903,"PHP 450,000/ month","Makati City, Metro Manila",,500 m²,3,3,Available from 15 Aug,,23 Oct 11:17,Housing I.,"['PHP 450,000/ month', '/ month', 'Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '500 m²', 'Bathrooms:', '3', 'Available from:', '15 Aug']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Rent in 6370, Camia, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-sale-lease-in-proscenium-residences-ln802809,"PHP 120,000/ month","6370, Camia, Makati City, Kalakhang Maynila, 1200",,89 m²,2,2,Available from 15 Aug,,23 Oct 11:17,Housing I.,"['PHP 120,000/ month', '/ month', '6370, Camia, Makati City, Kalakhang Maynila, 1200', 'Bedrooms:', '2', 'Area:', '89 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.565682,121.03912,"6370 Camia, Makati, 1200 Kalakhang Maynila, Philippines"
"Condo For Rent in Rockwell Drive, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-ufor-lease-in-one-rockwell-ln548316,"PHP 120,000/ month","Rockwell Drive, Makati City, Metro Manila",,117 m²,2,2,Available from 15 Aug,,23 Oct 11:17,Housing I.,"['PHP 120,000/ month', '/ month', 'Rockwell Drive, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '117 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.5629466,121.0357982,"Rockwell Dr, Makati City, Metro Manila, Philippines"
"Condo For Rent in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-rent-in-bgc-taguig-ln397067,"PHP 120,000/ month","Makati City, Metro Manila",,90 m²,2,2,Available from 15 Aug,,23 Oct 11:17,Housing I.,"['PHP 120,000/ month', '/ month', 'Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '90 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Sale in 26, Miguel Leonor St, San Pablo City",https://lifenavi.com/ph/properties/san-pablo-city/for-sale/condo/3br-for-sale-in-essensa-tower-ln766151,"PHP 95,000,000","26, Miguel Leonor St, San Pablo City, Metro Manila",,290 m²,3,3,Available from 8 Aug,,23 Oct 11:17,Housing I.,"['PHP 95,000,000', '26, Miguel Leonor St, San Pablo City, Metro Manila', 'Bedrooms:', '3', 'Area:', '290 m²', 'Bathrooms:', '3', 'Available from:', '8 Aug']",14.0665399,121.3242968,"26 Miguel Leonor St, San Pablo City, Laguna, Philippines"
"Condo For Rent in 2, McKinley Parkway, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-in-arya-residences-ln879460,"PHP 160,000/ month","2, McKinley Parkway, Makati City, Metro Manila, 1634",,136 m²,2,2,Available from 15 Aug,,23 Oct 11:17,Housing I.,"['PHP 160,000/ month', '/ month', '2, McKinley Parkway, Makati City, Metro Manila, 1634', 'Bedrooms:', '2', 'Area:', '136 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.5465848,121.0486983,"The Plaza, 2 McKinley Pkwy, Makati City, 1634 Metro Manila, Philippines"
"Condo For Rent in 156, L.P. Leviste Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-in-tiffany-place-ln921885,"PHP 115,000/ month","156, L.P. Leviste Street, Makati City, Metro Manila, 1227",,178.92 m²,2,2,Available from 15 Aug,,23 Oct 11:17,Housing I.,"['PHP 115,000/ month', '/ month', '156, L.P. Leviste Street, Makati City, Metro Manila, 1227', 'Bedrooms:', '2', 'Area:', '178.92 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.5600013,121.024939,"156 L.P. Leviste Street, Makati City, 1227 Metro Manila, Philippines"
"Condo For Rent in 125, San Agustin Street, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-lease-in-tiffany-place-ln266614,"PHP 180,000/ month","125, San Agustin Street, Makati City, Metro Manila",,236.66 m²,3,2,Available from 15 Aug,,23 Oct 11:17,Housing I.,"['PHP 180,000/ month', '/ month', '125, San Agustin Street, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '236.66 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.5598801,121.02495,"125 San Agustin St, Makati City, Metro Manila, Philippines"
"Condo For Rent in Tordesillas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-in-four-seasons-salcedo-ln328188,"PHP 225,000/ month","Tordesillas, Makati City, Metro Manila",,230 m²,2,2,Available from 15 Aug,,23 Oct 11:17,Housing I.,"['PHP 225,000/ month', '/ month', 'Tordesillas, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '230 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.5604436,121.0223885,"Tordesillas, Bel-Air, Makati, Kalakhang Maynila, Philippines"
"Condo For Rent in Tordesillas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-lease-in-four-seasons-salcedo-ln403951,"PHP 230,000/ month","Tordesillas, Makati City, Metro Manila",,230 m²,3,2,Available from 15 Aug,,23 Oct 11:17,Housing I.,"['PHP 230,000/ month', '/ month', 'Tordesillas, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '230 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.5604436,121.0223885,"Tordesillas, Bel-Air, Makati, Kalakhang Maynila, Philippines"
"Condo For Rent in 121, Tordesillas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-lease-in-one-penn-place-ln966763,"PHP 240,000/ month","121, Tordesillas, Makati City, Metro Manila, 1227",,243.63 m²,3,2,Available from 15 Aug,,23 Oct 11:16,Housing I.,"['PHP 240,000/ month', '/ month', '121, Tordesillas, Makati City, Metro Manila, 1227', 'Bedrooms:', '3', 'Area:', '243.63 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.560626,121.0233125,"Three Salcedo Place, 121 Tordesillas, Makati City, 1227 Metro Manila, Philippines"
"Condo For Rent in 121, Tordesillas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-lease-in-one-penn-place-ln759208,"PHP 230,000/ month","121, Tordesillas, Makati City, Metro Manila, 1227",,253.43 m²,2,2,Available from 15 Aug,,23 Oct 11:16,Housing I.,"['PHP 230,000/ month', '/ month', '121, Tordesillas, Makati City, Metro Manila, 1227', 'Bedrooms:', '2', 'Area:', '253.43 m²', 'Bathrooms:', '2', 'Available from:', '15 Aug']",14.560626,121.0233125,"Three Salcedo Place, 121 Tordesillas, Makati City, 1227 Metro Manila, Philippines"
"House and Lot For Rent in P6, Greenhills Shopping Center, San Juan City",https://lifenavi.com/ph/properties/san-juan-city/for-rent/house-and-lot/6br-for-rent-in-greenhills-west-ln792056,"PHP 180,000/ month","P6, Greenhills Shopping Center, San Juan City, Metro Manila, 1502",,1800 m²,5+,6+,Available from 18 Aug,,23 Oct 11:16,Housing I.,"['PHP 180,000/ month', '/ month', 'P6, Greenhills Shopping Center, San Juan City, Metro Manila, 1502', 'Bedrooms:', '5+', 'Area:', '1800 m²', 'Bathrooms:', '6+', 'Available from:', '18 Aug']",14.6019338,121.0511366,"P6 Greenhills Shopping Center, San Juan City, 1502 Metro Manila, Philippines"
"House and Lot For Rent in San Juan City, Metro Manila",https://lifenavi.com/ph/properties/san-juan-city/for-rent/house-and-lot/5br-for-rent-in-north-greenhills-ln452283,"PHP 250,000/ month","San Juan City, Metro Manila",,1000 m²,5+,3,Available from 18 Aug,,23 Oct 11:16,Housing I.,"['PHP 250,000/ month', '/ month', 'San Juan City, Metro Manila', 'Bedrooms:', '5+', 'Area:', '1000 m²', 'Bathrooms:', '3', 'Available from:', '18 Aug']",14.6019636,121.0354994,"San Juan City, Metro Manila, Philippines"
"House and Lot For Rent in 6, Purdue, San Juan City",https://lifenavi.com/ph/properties/san-juan-city/for-rent/house-and-lot/5br-for-salerent-in-northeast-greenhills-ln320977,"PHP 250,000/ month","6, Purdue, San Juan City, Metro Manila, 1503",,974 m²,5+,5,Available from 18 Aug,,23 Oct 11:16,Housing I.,"['PHP 250,000/ month', '/ month', '6, Purdue, San Juan City, Metro Manila, 1503', 'Bedrooms:', '5+', 'Area:', '974 m²', 'Bathrooms:', '5', 'Available from:', '18 Aug']",14.6023224,121.0569351,"6 Purdue, San Juan City, 1503 Metro Manila, Philippines"
"Condo For Sale in Makati City, Metro Manila",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/2br-for-sale-in-garden-towers-ln743872,"PHP 65,000,000","Makati City, Metro Manila",,149 m²,2,2,Available from 18 Aug,,23 Oct 11:16,Housing I.,"['PHP 65,000,000', 'Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '149 m²', 'Bathrooms:', '2', 'Available from:', '18 Aug']",14.5573752,121.0227371,"Makati City, Metro Manila, Philippines"
"Condo For Sale in Taguig, Metro Manila",https://lifenavi.com/ph/properties/taguig/for-sale/condo/4br-for-sale-in-grand-hyatt-residences-ln660352,"PHP 160,000,000","Taguig, Metro Manila",,353 m²,4,3,Available from 18 Aug,,23 Oct 11:16,Housing I.,"['PHP 160,000,000', 'Taguig, Metro Manila', 'Bedrooms:', '4', 'Area:', '353 m²', 'Bathrooms:', '3', 'Available from:', '18 Aug']",14.5306317,121.0575482,"Taguig, Metro Manila, Philippines"
"Condo For Sale in cor, 3rd Avenue, Taguig",https://lifenavi.com/ph/properties/taguig/for-sale/condo/2br-for-sale-in-the-suites-ln999825,"PHP 70,000,000","cor, 3rd Avenue, Taguig, Metro Manila",,136 m²,2,2,Available from 18 Aug,,23 Oct 11:16,Housing I.,"['PHP 70,000,000', 'cor, 3rd Avenue, Taguig, Metro Manila', 'Bedrooms:', '2', 'Area:', '136 m²', 'Bathrooms:', '2', 'Available from:', '18 Aug']",14.484207,121.0512433,"3rd Ave, Bagumbayan, Taguig, Metro Manila, Philippines"
"House and Lot For Rent in 6, Molave, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/house-and-lot/5br-for-salerent-in-south-forbes-park-ln681586,"PHP 650,000/ month","6, Molave, Makati City, Kalakhang Maynila, 1222",,1059.33 m²,5+,6+,Available from 18 Aug,,23 Oct 11:16,Housing I.,"['PHP 650,000/ month', '/ month', '6, Molave, Makati City, Kalakhang Maynila, 1222', 'Bedrooms:', '5+', 'Area:', '1059.33 m²', 'Bathrooms:', '6+', 'Available from:', '18 Aug']",14.5434448,121.035126,"6 Molave, Makati, 1222 Kalakhang Maynila, Philippines"
"House and Lot For Rent in Dasmarinas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/house-and-lot/4br-for-lease-in-dasmarinas-village-ln448405,"PHP 650,000/ month","Dasmarinas, Makati City, Metro Manila",,00 m²,4,4,Available from 18 Aug,,23 Oct 11:16,Housing I.,"['PHP 650,000/ month', '/ month', 'Dasmarinas, Makati City, Metro Manila', 'Bedrooms:', '4', 'Area:', '00 m²', 'Bathrooms:', '4', 'Available from:', '18 Aug']",14.5402416,121.0292097,"Dasmariñas, Makati City, Metro Manila, Philippines"
"Condo For Sale in 7248, Malugay, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/1br-for-sale-in-the-rise-ln456449,"PHP 6,800,000","7248, Malugay, Makati City, Metro Manila, 1203",,28 m²,1,1,Available from 18 Aug,,23 Oct 11:16,Housing I.,"['PHP 6,800,000', '7248, Malugay, Makati City, Metro Manila, 1203', 'Bedrooms:', '1', 'Area:', '28 m²', 'Bathrooms:', '1', 'Available from:', '18 Aug']",14.5616117,121.0132166,"7248 Malugay, Makati, 1203 Kalakhang Maynila, Philippines"
"Condo For Sale in 130, Valero, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/2br-for-sale-in-le-grand-ln791735,"PHP 19,500,000","130, Valero, Makati City, Kalakhang Maynila, 1227",,153 m²,2,1,Available from 19 Aug,,23 Oct 11:15,Housing I.,"['PHP 19,500,000', '130, Valero, Makati City, Kalakhang Maynila, 1227', 'Bedrooms:', '2', 'Area:', '153 m²', 'Bathrooms:', '1', 'Available from:', '19 Aug']",14.5586734,121.0210823,"Le Grand Condominium, 130 Valero, Makati City, 1227 Metro Manila, Philippines"
"Condo For Rent in 6751, Ayala Avenue, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/2br-for-salelease-in-makati-tuscany-ln102432,"PHP 110,000/ month","6751, Ayala Avenue, Ortigas Center, Makati City, Metro Manila",,151 m²,2,2,Available from 19 Aug,,23 Oct 11:15,Housing I.,"['PHP 110,000/ month', '/ month', '6751, Ayala Avenue, Ortigas Center, Makati City, Metro Manila', 'Bedrooms:', '2', 'Area:', '151 m²', 'Bathrooms:', '2', 'Available from:', '19 Aug']",14.55941,121.017773,"Makati Tuscany, 6751 Ayala Ave, Makati City, 1200 Metro Manila, Philippines"
"Condo For Rent in Paseo de Roxas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-rent-in-the-residences-at-greenbelt-ln713513,"PHP 280,000/ month","Paseo de Roxas, Makati City, Metro Manila",,141 m²,3,3,Available from 19 Aug,,23 Oct 11:15,Housing I.,"['PHP 280,000/ month', '/ month', 'Paseo de Roxas, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '141 m²', 'Bathrooms:', '3', 'Available from:', '19 Aug']",14.5581825,121.0258549,"Paseo de Roxas, Makati City, Metro Manila, Philippines"
"Condo For Rent in Paseo de Roxas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-rent/condo/3br-for-lease-in-the-resisences-at-greenbelt-ln538789,"PHP 160,000/ month","Paseo de Roxas, Makati City, Metro Manila",,136 m²,3,2,Available from 19 Aug,,23 Oct 11:15,Housing I.,"['PHP 160,000/ month', '/ month', 'Paseo de Roxas, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '136 m²', 'Bathrooms:', '2', 'Available from:', '19 Aug']",14.5581825,121.0258549,"Paseo de Roxas, Makati City, Metro Manila, Philippines"
"Condo For Sale in Tordesillas, Makati City",https://lifenavi.com/ph/properties/makati-city/for-sale/condo/3br-for-sale-in-three-salcedo-place-ln116728,"PHP 116,000,000","Tordesillas, Makati City, Metro Manila",,331.8 m²,3,3,Available from 19 Aug,,23 Oct 11:15,Housing I.,"['PHP 116,000,000', 'Tordesillas, Makati City, Metro Manila', 'Bedrooms:', '3', 'Area:', '331.8 m²', 'Bathrooms:', '3', 'Available from:', '19 Aug']",14.5604436,121.0223885,"Tordesillas, Bel-Air, Makati, Kalakhang Maynila, Philippines"
