id,lat,lon,amenity_type,amenity,lgu
ChIJaQiKdhucqTMRhhD0WciTcaA,10.2944411,123.8698545,pharmacy,Three Sixty Pharmacy - Punta Princesa,Cebu City
ChIJ1Xfi6RucqTMRx4Fk6_8vuoE,10.300273,123.8762854,pharmacy,ThreeSixty Pharmacy,Cebu City
ChIJLXQ6heKbqTMRG7NejLvL4p4,10.2983887,123.8938285,pharmacy,ThreeSixty Pharmacy,Cebu City
ChIJX-Sgr2uZqTMRWSj0lcLB66A,10.3120383,123.9114615,pharmacy,ThreeSixty Pharmacy,Cebu City
ChIJY52Jy12ZqTMRaFvQaCGRNIw,10.3019611,123.905612,pharmacy,ThreeSixty Pharmacy - T. Padilla Branch,Cebu City
ChIJ1ZQAFNKeqTMRDt451lqvh3o,10.3165227,123.8854217,pharmacy,ThreeSixty Pharmacy - V Rama,Cebu City
ChIJ1Xfi6RucqTMR23-agG4wClc,10.3004964,123.8695229,pharmacy,Threesixty Pharmacy,Cebu City
ChIJ5_fUL0yZqTMRg8HghxarMyU,10.3110286,123.8917189,pharmacy,Threesixty Pharmacy,Cebu City
ChIJXbAMOD-cqTMRlJLkjY6HU-s,10.2836215,123.8587324,pharmacy,Threesixty Pharmacy,Cebu City
ChIJJz3h5UmZqTMReT6MRSXASAQ,10.3164882,123.892207,pharmacy,Threesixty Pharmacy - Escario Branch,Cebu City
ChIJXyYze1KZqTMRGsCkwRkmgnA,10.3085421,123.8910214,pharmacy,VSMMC DOH PHARMACY,Cebu City
ChIJ7SYAdQCdqTMR2AVtX5JIE2Q,10.2829133,123.8807045,pharmacy,WATSONS - SM Seaside Cebu Department Store,Cebu City
ChIJK8Z7kMeZqTMRPKUjA6k9suI,10.3181163,123.8962804,pharmacy,WATSONS AXIS ENTERTAINMENT AVE ESCARIO CEBU,Cebu City
ChIJX28gTLSZqTMR8zBQMByKTpY,10.3176994,123.9046058,pharmacy,WATSONS AYALA CENTER CEBU MALL 1,Cebu City
ChIJQemarz-ZqTMRpsFWhl12wbw,10.3174033,123.9058511,pharmacy,WATSONS AYALA CENTER CEBU MALL 2,Cebu City
ChIJL6_xsSmZqTMRg8N4r5EMVv0,10.2977768,123.9006624,pharmacy,WATSONS CEBU BUSINESS HOTEL,Cebu City
ChIJbcXy51eZqTMRqpNukNekMao,10.297921,123.895407,pharmacy,WATSONS ELIZABETH MALL,Cebu City
