id,lat,lon,amenity_type,amenity,lgu
ChIJ40-A7RecqTMR3k8P-RT__BU,10.290659,123.8644898,tourist_attraction,Jumalon Butterfly Sanctuary And Art Gallery,Cebu City
ChIJUyI2-zKdqTMRkmeM31fs2-Q,10.2897096,123.8688062,lodging,KRYST TOURIST INN,Cebu City
ChIJn4q83z2cqTMR0CyLm92aSho,10.2870649,123.8619996,lodging,Kaizen Pension House,Cebu City
ChIJDf9gawCZqTMRPgKpAWAxzkE,10.3439804,123.9007609,tourist_attraction,Kalachuchi-an Overlooking View,Cebu City
ChIJlZFLSWiZqTMR7vv8a8ZYyHE,10.3237159,123.9119254,lodging,Kasa Boutique Hotel - Kasambagan,Cebu City
ChIJW5-ww6udqTMR_uvgl6H8feI,10.2713121,123.8815228,tourist_attraction,Kawit Light Beacon,Cebu City
ChIJ262p4YWZqTMRzPFwqX-y5h4,10.3120982,123.9022302,lodging,Klowei Transient Home,Cebu City
ChIJ_zms8yCZqTMRHYqGVRNryC8,10.3314518,123.898379,tourist_attraction,LBM Transport Corridor Pt.A,Cebu City
ChIJveOEGpufqTMRyDXa2bA5myU,10.3754768,123.8245387,lodging,Lava Mountain River Farm,Cebu City
ChIJi5rMPgCfqTMRESfiNM6PvlE,10.3209978,123.880759,tourist_attraction,Leaning Tower of Yoga,Cebu City
ChIJ8aOHb8SbqTMRu6TQBw88B8c,10.296514,123.8927557,lodging,Leo's Inn,Cebu City
ChIJDc1S7DeZqTMRD8zajawEIQM,10.3173187,123.8934224,lodging,Lex Hotel Cebu,Cebu City
ChIJC9_zSQCdqTMRH9Ef6EBZMNE,10.2989125,123.8539933,tourist_attraction,Linao Sa Nazareth (TUBOD BUHISAN CEBU CITY),Cebu City
ChIJ1cvy2OadqTMRPOlJ5dCyyB0,10.3001404,123.8499629,tourist_attraction,Lumadnong Swimming Pool,Cebu City
ChIJMUxTlk6ZqTMRb6rATEaXG2A,10.3108396,123.89231,lodging,M Citi Suites,Cebu City
ChIJb6aHbpWZqTMRELq7gKfG974,10.3105425,123.894165,lodging,MARITIME SEAMAN DORMITORY FUENTE CEBU CITY,Cebu City
ChIJi1_jFwCZqTMReKeWw-ieF1I,10.3027701,123.8981971,tourist_attraction,MASAHE DE CEBU,Cebu City
ChIJ1ZvfoHGZqTMRNe_uOx9khIo,10.3155211,123.8945865,lodging,MCA Suites by Hiverooms,Cebu City
ChIJ40DZUDmZqTMR-VOP6aFTBVc,10.3204998,123.9019709,lodging,MJ Hotel & Suites,Cebu City
ChIJU2ypFECZqTMRJp_u5_1Zrpk,10.3142919,123.9063614,lodging,Magabelle Guesthouse,Cebu City
ChIJQVwA2-ObqTMR--ZXFjrCXiQ,10.2935626,123.9019549,tourist_attraction,Magellan's Cross,Cebu City
ChIJOU8g6lCZqTMRDhxcY8I0Lyk,10.3070174,123.8948755,lodging,Magnolia Pension,Cebu City
ChIJV6m2HECdqTMRMgVMNbIU278,10.2909084,123.8732763,lodging,Mambaling Pension House 1,Cebu City
ChIJgYekB6adqTMRGQlSGs7xMiA,10.2909522,123.8726899,lodging,Mambaling Pension House 2,Cebu City
ChIJiVFrsD6ZqTMRDkLpdo7759o,10.3198424,123.9032783,lodging,Mandarin Plaza Hotel,Cebu City
ChIJy_0cnUaZqTMRcU3hpnZc2Mw,10.3107861,123.9025547,lodging,Mango Park Hotel,Cebu City
ChIJ4ZswOwCZqTMRnHKe-eA7ZiA,10.2999252,123.9004195,tourist_attraction,Manigos & Fukushima Integrated Farm,Cebu City
ChIJX_qEFtqYqTMRXLB5YKVbEYQ,10.3417299,123.8974558,lodging,Marco Polo Plaza Cebu,Cebu City
ChIJfcRjBACdqTMR0t2IgLhE_ko,10.2904373,123.8844648,tourist_attraction,Marie Stella cho,Cebu City
ChIJ-X1K7YOdqTMRjxTuDmPm8Nw,10.2851525,123.8646178,tourist_attraction,Mart Andre R. Fernandez,Cebu City
ChIJs8eiGzSZqTMR4BnligHzP7U,10.3246767,123.8902688,lodging,Mayflower Inn,Cebu City
ChIJ4Vm4siaZqTMRISv16iNQN58,10.3313256,123.9026801,lodging,Metro Park Hotel,Cebu City
ChIJ_W0U1hCZqTMRY_PmTqQSX8g,10.3219068,123.9140641,lodging,Mezzo Hotel,Cebu City
ChIJa3rWl5mdqTMRlEJ2NJXfmz4,10.2975534,123.8826533,tourist_attraction,Michael Navarro's Mansion,Cebu City
ChIJp45-1uObqTMRKiyk55UEjGY,10.2941085,123.9021057,tourist_attraction,Minor Basilica of the Holy Child of Cebu (Basilica Minore Del Sto. Niño de Cebu),Cebu City
ChIJ3624yy2dqTMRvuZiJaQ8tYc,10.298376,123.8815066,lodging,Moonstar Cebu,Cebu City
ChIJkRLIDF2ZqTMRYsvjh5V6j3M,10.303791,123.9064311,tourist_attraction,Museo Sugbo,Cebu City
ChIJ8ZVZy0iZqTMRw8bIBH31tSs,10.3121741,123.895262,lodging,NS Royal Hotel,Cebu City
ChIJxfT9I1WdqTMRiqcYGYapnLw,10.2721471,123.880803,lodging,NUSTAR Resort Cebu,Cebu City
ChIJiacczRWZqTMRx8rVSE2dIVQ,10.3191985,123.9109979,lodging,New Era Cebu Pension Inn Inc.,Cebu City
ChIJmfyOO1qZqTMR4gL2cxMy0tA,10.3019111,123.8991772,lodging,OYO 703 Gplace,Cebu City
ChIJhQ4DZv2fqTMRJhhhY9eER8Q,10.3154415,123.8852063,lodging,Oceana Resort,Cebu City
ChIJBy7GWP2bqTMRcwxWh2mqUnU,10.2973943,123.8958342,lodging,One Central Hotel,Cebu City
ChIJ69rb5DeZqTMRfNGBX2itk9U,10.3172892,123.8961329,tourist_attraction,Our Lady of the Sacred Heart Parish,Cebu City
ChIJxZmjGUaZqTMRR5u5Tob6zGI,10.3128236,123.8972112,tourist_attraction,Our Mother of Perpetual Help - Redemptorist Church,Cebu City
ChIJKcSMdQCfqTMRn8cIXGDu8NM,10.3071268,123.8794743,tourist_attraction,PHDream,Cebu City
ChIJHWHRXVCZqTMREpGQ28OUiuo,10.3054951,123.8954428,lodging,Pacific Pensionne House,Cebu City
ChIJH31t--KbqTMRCBPqIw_ap9M,10.2950404,123.8991687,lodging,Pacific Tourist Inn - Manalili,Cebu City
ChIJ94CrU1uZqTMRAPXss2giR9Q,10.3063091,123.902118,lodging,Palazzo Pensionne - 2.5 Star,Cebu City
ChIJiQGd9liZqTMRX8l9J4jjUPU,10.2985051,123.899969,lodging,Palm Grass The Cebu Heritage Hotel,Cebu City
ChIJTdd-knKZqTMRZ6lo5mIFj2g,10.3149443,123.8941876,lodging,Paragon Suites,Cebu City
ChIJI-Q9vUuZqTMReWgG8h-y65w,10.313991,123.889345,tourist_attraction,Philippine Chinese Spiritual Temple,Cebu City
ChIJR3ruO0WfqTMRGBL1kQa3o_k,10.3209856,123.879426,tourist_attraction,Pillar of wisdom,Cebu City
ChIJ1x1EHOGbqTMR5_q34HlTerk,10.2931907,123.9051262,tourist_attraction,Plaza Independencia,Cebu City
ChIJ_YfgbwDrqzMR1Qox8Oj6hQU,10.2903933,123.8892618,tourist_attraction,Poblacion Badian Cebu,Cebu City
ChIJJxDW8SWZqTMRerKFmhlf_Vk,10.330002,123.897506,lodging,Prestigio,Cebu City
ChIJyfcqAn-ZqTMRdH9Y2GhqYvw,10.3089706,123.8948841,lodging,Primeway Suites Cebu,Cebu City
ChIJm2Mp6xiZqTMRemzTwBMXRVk,10.328227,123.909507,tourist_attraction,Qube Gallery,Cebu City
ChIJm4OrCxSfqTMRLfBAb696MG8,10.3193763,123.903053,lodging,Quest Hotel and Conference Center - Cebu,Cebu City
ChIJBSJbFAeZqTMR4VHMIryOclk,10.3425943,123.8989881,tourist_attraction,Rads Travel and Tours,Cebu City
ChIJ__-v5-GbqTMRZsiTt-BnJLw,10.296025,123.9037752,tourist_attraction,Rajah Humabon Monument & Humabon Historical Marker,Cebu City
ChIJLbHm_E6ZqTMRnBIgLPvLUdI,10.3103677,123.8937906,lodging,Rajah Park Hotel,Cebu City
ChIJfxaWNRecqTMRuFzuH1CZ6bc,10.2896875,123.8688125,lodging,RedDoorz near Baclay Drive Super Metro,Cebu City
ChIJjbWCWzOZqTMRvm_ZfSL-ekQ,10.3233164,123.8867128,lodging,Remedios House,Cebu City
ChIJH29TyJieqTMRb_5fcBzIDWY,10.3067361,123.8619225,lodging,Ring Resthouse,Cebu City
ChIJXRBPR1qZqTMRU9w0tiP-E6o,10.3031712,123.8986903,lodging,Robe's Pension House,Cebu City
ChIJ05I2ewCZqTMRhXFJQGR5SqE,10.3176557,123.8983275,tourist_attraction,Rose karyl cortes,Cebu City
ChIJMVE7ClGZqTMRTndr0qi6NYw,10.3051685,123.8938567,lodging,Roseate Pensione,Cebu City
ChIJHcdXjEmZqTMR5RIYST1NZz0,10.3158776,123.8918922,lodging,Rublin Hotel Cebu,Cebu City
ChIJEyWnqmyZqTMRrrqU4cQyuvc,10.314437,123.9139748,tourist_attraction,"Saint Joseph the Patriarch Parish Church - Mabolo, Cebu City",Cebu City
ChIJ__-_XeGbqTMRCvSGTNmYh4g,10.2934338,123.9029421,lodging,Sampaguita Suites,Cebu City
ChIJBcCjoBCZqTMR6eiaTPj17po,10.3247558,123.9152907,lodging,Sarrosa International Hotel & Residential Suites,Cebu City
ChIJYTodHCGZqTMRctjzc1NnwGk,10.3177013,123.9069729,lodging,Seda Ayala Center Cebu,Cebu City
ChIJCbpCDmCfqTMRd1MMY7nuWw8,10.3771034,123.8626812,lodging,Serenity Farm and Resort Busay,Cebu City
ChIJZ1ujV46fqTMRnfjf4je4PFQ,10.3086242,123.8690934,tourist_attraction,Seth's Oasis,Cebu City
ChIJmWpTJ1uZqTMRtrfyet0Poxo,10.3058411,123.899708,lodging,Shejoje Poshtel Hostel,Cebu City
ChIJE3LAbwCZqTMRGMlclP8ewPQ,10.3185396,123.8959376,tourist_attraction,Sining Cebu Monument,Cebu City
ChIJz_XF1U-ZqTMRLuh28VvaWq0,10.3078635,123.8941119,tourist_attraction,Sky Experience Adventure,Cebu City
ChIJpfOXpZCfqTMRvO_xiz1910s,10.3686442,123.8600563,lodging,Soul Sierra,Cebu City
ChIJH7JqzVmZqTMRekdik6U_mg0,10.2999013,123.8976274,tourist_attraction,Sto. Rosario Parish,Cebu City
ChIJAaoG--ObqTMRRGDPktel7bk,10.2923284,123.9019282,tourist_attraction,Sugbu Chinese Heritage Museum,Cebu City
ChIJH2dXVG6ZqTMRojLDDDlkRrA,10.3071817,123.9168406,lodging,Sugbutel Family Hotel,Cebu City
ChIJuZUKo6OeqTMRDe5KPlRcC38,10.307409,123.867985,lodging,THE PURRFECT BOOKSTORE,Cebu City
