id,lat,lon,amenity_type,amenity,lgu
80675941,10.2938427,123.9061512,tertiary,Sergio Osmeña Avenue,Cebu City
80675985,10.2949873,123.9067074,tertiary,Sergio Osmeña Avenue,Cebu City
81344512,10.4229371,123.8984222,tertiary,Unnamed road corridor,Cebu City
81344549,10.331607,123.8800288,tertiary,Unnamed road corridor,Cebu City
81345477,10.3387262,123.8799921,tertiary,CPDRC,Cebu City
81459171,10.4052312,123.9255062,tertiary,Unnamed road corridor,Cebu City
81459448,10.3707668,123.9030769,tertiary,Budlaan Road,Cebu City
82162374,10.2946635,123.9050779,secondary,M.J. Cuenco Avenue,Cebu City
82162375,10.2941531,123.900168,tertiary,Magallanes Street,Cebu City
82162396,10.2981922,123.9037033,secondary,Mabini Street,Cebu City
82172582,10.2924891,123.9026414,tertiary,M.C. Briones Street,Cebu City
82172584,10.29397,123.9059207,tertiary,Sergio Osmeña Avenue,Cebu City
82487162,10.3087737,123.8906612,secondary,B. Rodriguez Street,Cebu City
82487339,10.3084285,123.8954491,tertiary,F. Ramos Street,Cebu City
82487340,10.3099278,123.8939444,secondary,General Maxilom Avenue,Cebu City
82487341,10.3098762,123.8942343,secondary,General Maxilom Avenue,Cebu City
82487342,10.3130602,123.8920642,secondary,Osmeña Boulevard,Cebu City
82487361,10.3174596,123.8943791,secondary,N. Escario Street,Cebu City
82487363,10.317808,123.8962908,secondary,N. Escario Street,Cebu City
83672930,10.3286016,123.897239,tertiary,Sudlon,Cebu City
83672931,10.3302998,123.8918484,tertiary,Justice Street,Cebu City
85131865,10.3128817,123.9157087,primary,Juan Luna Avenue,Cebu City
85131876,10.3132939,123.9154812,primary,Juan Luna Avenue,Cebu City
85131937,10.3132272,123.9154075,primary,Juan Luna Avenue,Cebu City
85131947,10.3138348,123.9150722,primary,Juan Luna Avenue,Cebu City
93553707,10.3610167,123.9273161,tertiary,Elias Cortes Street,Cebu City
93553709,10.3971915,123.9166881,tertiary,Unnamed road corridor,Cebu City
93553710,10.3968474,123.9192929,tertiary,Unnamed road corridor,Cebu City
93553711,10.3951389,123.9213223,secondary,Bacayan - Pit-os Road,Cebu City
93553712,10.3798363,123.9205545,secondary,Miñoza Street,Cebu City
94057148,10.2942631,123.8999879,tertiary,Plaridel Street,Cebu City
94057150,10.2955763,123.8980015,tertiary,P. Lopez Street,Cebu City
94057151,10.2960049,123.8916978,tertiary,Sanciangko Street,Cebu City
94057152,10.2960878,123.8918498,tertiary,Sanciangko Street,Cebu City
94057153,10.2939023,123.8948391,tertiary,Panganiban Street,Cebu City
94057155,10.2943421,123.8907523,tertiary,T. Abella Street,Cebu City
94057156,10.2956506,123.8904084,tertiary,T. Abella Street,Cebu City
94057159,10.2961109,123.8910801,tertiary,Tres de Abril Street,Cebu City
94079766,10.291193,123.8976026,tertiary,Escaño Street,Cebu City
94079773,10.2922589,123.9020783,tertiary,P. Burgos Street,Cebu City
94079775,10.2920085,123.9001493,tertiary,F. Gonzales Street,Cebu City
94079838,10.2955593,123.8922702,tertiary,Tres de Abril Street,Cebu City
94079843,10.295479,123.8917155,tertiary,Lakandula Street,Cebu City
94079850,10.2946508,123.8887122,tertiary,B. Aranas Street,Cebu City
94079871,10.2965161,123.8861356,tertiary,Tres de Abril Street,Cebu City
94079954,10.2935928,123.8942306,tertiary,Tres de Abril Street,Cebu City
94079960,10.2955557,123.8898352,tertiary,Vicente Rama Avenue,Cebu City
