feature,area_sqm,bedrooms,bathrooms,bedrooms_imputed,bathrooms_imputed,dist_cebu_business_park_m,dist_mandaue_cbd_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
mcrai_grocery,0.16653487118234508,0.11154278852095531,0.15853703923454843,0.032968988689445845,0.03851615835144722,-0.48957167488915815,-0.381305236155623,-0.3789046544878139,-0.2549038249899391,0.7890047848643768,1.0,0.8392091759146488,0.7152254231789145,0.6029219528474451,0.6708468071945592,0.724582318938779,0.7616203617201646,0.5151541269392707,0.49993416447548905,-0.18987307179241603,0.36217624200867593
mcrai_health,0.142823619483367,0.13012949139872954,0.15888566589728412,0.021954609820938505,0.009140601123232266,-0.41013380479533396,-0.23374494243397637,-0.4942407556196357,-0.4260801685688013,0.7726206698099816,0.8392091759146488,1.0,0.7250960938811837,0.5958670033278745,0.6111557917197505,0.8185840250608026,0.8429163456148603,0.3971685286786541,0.39801096893614113,-0.2374828052966144,0.310349174368823
mcrai_hospitals,0.12384728854087915,0.11567180342372978,0.1418416049317236,-0.005931618224757761,0.025094934063081085,-0.5256640132745294,-0.3945401817229066,-0.4150522953688882,-0.2625988962642808,0.6373945952498462,0.7152254231789145,0.7250960938811837,1.0,0.49366211116932046,0.6124947343670808,0.6061187277251209,0.5516663873615624,0.4958376495478833,0.5197472482885385,-0.21617692199435914,0.29938679478288127
mcrai_recreation,0.026656929600341904,0.014678761542340744,0.011795870481264072,0.0300738952024253,0.02912166022087568,-0.22408835832866872,-0.24942591459710783,-0.10615525132295585,-0.5853927993912201,0.5288733104316412,0.6029219528474451,0.5958670033278745,0.49366211116932046,1.0,0.5247091169531629,0.5962329786663884,0.5346887636691844,0.09357466253600523,0.06959774803004615,0.25738939429840874,0.09321180086139255
mcrai_security,0.07426849543861509,0.0387310553066558,0.05390498010069698,0.05887779561973312,0.06186724028466246,-0.34470679395932924,-0.2597778944317749,-0.15377516365765154,-0.37284779946091046,0.6139682998190057,0.6708468071945592,0.6111557917197505,0.6124947343670808,0.5247091169531629,1.0,0.559503203982451,0.5192632132077002,0.3298154512834407,0.3014791834133511,0.058892143744917934,0.21431768154341826
mcrai_tourism,0.13262132051977746,0.11452433082482545,0.14859935859535556,0.027970838161996886,0.025237425445946284,-0.38065535051398025,-0.2147143345795119,-0.381931901390426,-0.47018151082971366,0.6534421689148948,0.724582318938779,0.8185840250608026,0.6061187277251209,0.5962329786663884,0.559503203982451,1.0,0.7540075017764187,0.3537034272365919,0.3520104698239363,-0.10984425202709557,0.2987586891600515
mcrai_retail_density,0.10846778095956851,0.11632487196418756,0.13621766167421917,0.01236249416288909,0.009991640099352102,-0.2077656534846827,-0.0663018566343979,-0.5579435048606923,-0.2750544632931734,0.7073436176637458,0.7616203617201646,0.8429163456148603,0.5516663873615624,0.5346887636691844,0.5192632132077002,0.7540075017764187,1.0,0.24333008082998384,0.27073904893759987,-0.28051836906730104,0.2693141774673444
bir_zonal_rr_log,0.24547600598388597,0.1517390597131414,0.2210081593289816,-0.018364504898794758,-0.008326498472220995,-0.7178900979321432,-0.5089335652823895,-0.15752351609401186,0.11643907666619552,0.3907415113270535,0.5151541269392707,0.3971685286786541,0.4958376495478833,0.09357466253600523,0.3298154512834407,0.3537034272365919,0.24333008082998384,1.0,0.8387572570990536,-0.33746031197287146,0.4375759340325475
bir_zonal_cr_median,0.25991556456089454,0.1757704713684535,0.22797189206503915,-0.049110291682316995,-0.037483039314522806,-0.6757275741291381,-0.435273942926015,-0.2448747045216158,0.10526941831538184,0.402301566166578,0.49993416447548905,0.39801096893614113,0.5197472482885385,0.06959774803004615,0.3014791834133511,0.3520104698239363,0.27073904893759987,0.8387572570990536,1.0,-0.43301241677738317,0.46177516623583037
is_mactan_island,-0.21368054329829228,-0.23780715869846444,-0.2521142593939821,0.05801895654471431,0.030742739506235812,0.3711442111026322,0.13681547864394175,0.5294200296886654,-0.4051384198059311,-0.22203621661035852,-0.18987307179241603,-0.2374828052966144,-0.21617692199435914,0.25738939429840874,0.058892143744917934,-0.10984425202709557,-0.28051836906730104,-0.33746031197287146,-0.43301241677738317,1.0,-0.3461048357811206
spatial_lag_price,0.4384670968692832,0.3040190917297406,0.4148064766679695,-0.07432979583329112,-0.05777795758202915,-0.5157391927457569,-0.35876272651343943,-0.06478115848926372,0.011645805143026945,0.3276004462831367,0.36217624200867593,0.310349174368823,0.29938679478288127,0.09321180086139255,0.21431768154341826,0.2987586891600515,0.2693141774673444,0.4375759340325475,0.46177516623583037,-0.3461048357811206,1.0
