feature,area_sqm,bedrooms,bathrooms,bedrooms_imputed,bathrooms_imputed,dist_cebu_business_park_m,dist_talisay_tabunok_m,dist_to_trunk_road_m,dist_to_primary_road_m,mcrai_education,mcrai_grocery,mcrai_health,mcrai_hospitals,mcrai_recreation,mcrai_security,mcrai_tourism,mcrai_retail_density,bir_zonal_rr_log,bir_zonal_cr_median,is_mactan_island,spatial_lag_price
mcrai_grocery,-0.06889873622742283,-0.06188572853973207,0.0692205192435421,-0.03422998508435815,0.03696710228426059,-0.8527601396900261,-0.6298555637711095,-0.6531517201519011,-0.36115624304184196,0.8897465458849134,1.0,0.9474840004684609,0.8177716500314538,0.7618734707488739,0.7559652365669361,0.8998613724439447,0.9119781462707032,0.8017019430929201,0.7845495070745525,-0.6547019259988096,0.22535788447399324
mcrai_health,-0.10431386069883461,-0.07093789898730349,0.04196353705497585,-0.024399597539088935,0.03308195142864811,-0.8167706263519433,-0.6623472707411918,-0.6567556507518563,-0.38455078764118367,0.8774571520995322,0.9474840004684609,1.0,0.8649796506545353,0.7086773786453752,0.7754742464270992,0.9126718620875295,0.880661832009129,0.7513394051527261,0.7416720497782233,-0.6351073753565097,0.13505353524092764
mcrai_hospitals,-0.14192772390523486,-0.09483419892958253,-0.0009378830466003698,0.007067544343053313,0.021053977738191124,-0.7296598719665944,-0.6340490372130674,-0.7338966809591785,-0.21289460589089557,0.7930374809704115,0.8177716500314538,0.8649796506545353,1.0,0.5479853253246328,0.67876992136411,0.8169950809261707,0.7137921391240599,0.6948735511957054,0.7174243255907609,-0.6384787991325663,0.012403170221008944
mcrai_recreation,0.05457592899428683,0.01755896761474337,0.08465813465418821,-0.06589122034573927,0.004749016579510396,-0.6400587065670966,-0.3189231956839585,-0.44085576755948497,-0.4317913394734024,0.6232277108604445,0.7618734707488739,0.7086773786453752,0.5479853253246328,1.0,0.6230856451289866,0.7012732668425586,0.8211235824474534,0.5565596564307338,0.5465831872872537,-0.30053832654506096,0.3349345097472184
mcrai_security,-0.027095628272782998,-0.03611413693340386,0.06622625671144126,-0.0008913616424914111,0.03232405708404,-0.6851021011292603,-0.5344722977702069,-0.5149868631882376,-0.4820518174874674,0.6759104456698868,0.7559652365669361,0.7754742464270992,0.67876992136411,0.6230856451289866,1.0,0.7592329013618595,0.7289675076421539,0.6340463643731081,0.6488194640417163,-0.4384861928525867,0.20463587906160627
mcrai_tourism,-0.037903093905310235,-0.06214538227867354,0.06616834403452232,-0.043971438748080634,0.009410216410266547,-0.8585845810736703,-0.6626734160756491,-0.6218941064470411,-0.368106777431569,0.8213360357268366,0.8998613724439447,0.9126718620875295,0.8169950809261707,0.7012732668425586,0.7592329013618595,1.0,0.8218603738852618,0.7973942959939095,0.7835237305685141,-0.6103653059264937,0.22601940641889182
mcrai_retail_density,-0.04859803441165862,-0.02722902198458986,0.06993106154854675,-0.04540002747063481,0.03440463648293762,-0.8099125304942183,-0.5458499077372939,-0.6150585315721239,-0.36567054871547394,0.8003454514890028,0.9119781462707032,0.880661832009129,0.7137921391240599,0.8211235824474534,0.7289675076421539,0.8218603738852618,1.0,0.7300286391023062,0.7266131786008968,-0.6308062568692465,0.26714684755595103
bir_zonal_rr_log,-0.0142308736663133,-0.019491931031481658,0.10176331592603459,-0.1452855864250251,0.007799235776637776,-0.9408284134641062,-0.748882682014801,-0.6214019755498295,-0.22710867034916815,0.7226993532968414,0.8017019430929201,0.7513394051527261,0.6948735511957054,0.5565596564307338,0.6340463643731081,0.7973942959939095,0.7300286391023062,1.0,0.9499311930869933,-0.7429118072292267,0.2668731110597552
bir_zonal_cr_median,-0.013529801072247653,-0.016880249758855746,0.1013683700408967,-0.10076159633818144,0.024887101653233903,-0.9013268678102866,-0.7129885137873885,-0.6910145306011334,-0.24449498199434785,0.7017627422281166,0.7845495070745525,0.7416720497782233,0.7174243255907609,0.5465831872872537,0.6488194640417163,0.7835237305685141,0.7266131786008968,0.9499311930869933,1.0,-0.7378273667328955,0.2505544163125194
is_mactan_island,0.15256289154819944,0.04458786536997693,-0.04681442192555572,0.015477034945875792,-0.06750138266185629,0.7675817651797806,0.7473935676056154,0.7392422442156948,0.10661335467749615,-0.6416692468842004,-0.6547019259988096,-0.6351073753565097,-0.6384787991325663,-0.30053832654506096,-0.4384861928525867,-0.6103653059264937,-0.6308062568692465,-0.7429118072292267,-0.7378273667328955,1.0,-0.06327361097074219
spatial_lag_price,0.40283012528914547,0.14015447864894623,0.26204726717688154,-0.15526670467976655,-0.04005301146957463,-0.29453143804059306,-0.1543309565867113,0.03759248272118557,-0.0017704906985281028,0.1340737984431041,0.22535788447399324,0.13505353524092764,0.012403170221008944,0.3349345097472184,0.20463587906160627,0.22601940641889182,0.26714684755595103,0.2668731110597552,0.2505544163125194,-0.06327361097074219,1.0
