bank,bm_code,city,property_type,project_name,address,lot_area_sqm,floor_area_sqm,price,description
Bank of Commerce,166220,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 30 Blk 10 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166221,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 22 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166222,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 21 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166223,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 20 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166224,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 19 Blk 30 South Hills Subd Brgy Buhisan Cebu City,254,0,4217000,residential vacant lot
Bank of Commerce,166390,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 16 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166391,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 15 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166392,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 14 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166393,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 13 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166394,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 12 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166395,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 11 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166398,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 8 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166683,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 7 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166684,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 6 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166686,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 4 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166688,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 12 Blk 5 South Hills Subd Brgy Buhisan Cebu City,262,0,6000000,residential vacant lot
Bank of Commerce,166689,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 12 Blk 4 South Hills Subd Brgy Buhisan Cebu City,327,0,6867000,residential vacant lot
Bank of Commerce,166691,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 23 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166692,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 24 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Bank of Commerce,166693,Cebu City,Residential - Vacant Lot,South Hills Subd,Lot 25 Blk 30 South Hills Subd Brgy Buhisan Cebu City,150,0,2490000,residential vacant lot
Landbank,13050000000945,Cebu City,Residential - Vacant Lot,Ridgedale Subdivision,Saxophone corner Sapphire Streets Ridgedale Subdivision Barangay San Jose Talamban Cebu City,246,0,2977000,residential vacant lot
China Bank Savings,,Cebu City,Residential - Vacant Lot,Pristine Grove Residences,1-A-4-C Pristine Grove Residences Talamban Cebu City,142,0,4850000,residential vacant lot
China Bank Savings,,Talisay City,Residential - House and Lot,Azienda Genova,Lot 47 Blk 2 Azienda Genova Brgy Maghaway Talisay City Cebu,88,65,2860000,residential house and lot
China Bank Savings,,Cebu City,Residential - House and Lot,Camella Riverwalk,Blk 4 Lot 24 Camella Riverwalk Talamban Cebu City,66,46,2600000,residential house and lot
China Bank Savings,,Lapu-Lapu City,Residential - House and Lot,La Aldea Del Sol,Blk 2B Lot 18 La Aldea Del Sol Brgy Bankal Lapu-lapu City,72,53.6,3400000,residential house and lot
China Bank Savings,,Compostela,Residential - House and Lot,AMOA Enclave 4,Lot 3 Blk 12 AM0500 AMOA Enclave 4 Tamiao Compostela Cebu,138,46,3400000,one storey residential
Landbank,13050000000945,Cebu City,Residential - Vacant Lot,Ridgedale Subdivision,Saxophone corner Sapphire Streets Ridgedale Subdivision Barangay San Jose Talamban Cebu City,246,0,2977000,residential vacant lot
