bank,bm_code,city,property_type,project_name,address,lot_area_sqm,floor_area_sqm,price,description
Bank of Commerce,62515,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 34 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,382,0,3935000,residential vacant lot
Bank of Commerce,62516,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 36 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,40,0,412000,residential vacant lot
Bank of Commerce,62517,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 35 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,220,0,2266000,residential vacant lot
Bank of Commerce,62523,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 42 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,140,0,1442000,residential vacant lot
Bank of Commerce,62524,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 43 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,130,0,1339000,residential vacant lot
Bank of Commerce,62527,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 46 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,130,0,1339000,residential vacant lot
Bank of Commerce,62532,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 51 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,289,0,3122000,residential vacant lot
Bank of Commerce,62533,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 52 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,265,0,2862000,residential vacant lot
Bank of Commerce,62534,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 53 Blk 3 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,260,0,2678000,residential vacant lot
Bank of Commerce,62539,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 4 Blk 4 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,134,0,1381000,residential vacant lot
Bank of Commerce,62542,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 7 Blk 4 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,124,0,1439000,residential vacant lot
Bank of Commerce,62556,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 1 Blk 5 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,273,0,4095000,residential vacant lot
Bank of Commerce,62581,Lapu-Lapu City,Residential - Vacant Lot,Villa Illuminada Subd,Lot 13 Blk 9 Villa Illuminada Subd Brgy Pajac Lapu-Lapu City,176,0,1812000,residential vacant lot
