source,property_name,address,city,property_type,lot_area_sqm,floor_area_sqm,bedrooms,bathrooms,price_php,latitude,longitude,listing_url,market_segment
Lamudi,Townhouse For Sale in Tungkil,"Main Ave, Tungkil, Minglanilla, Cebu, Central Visayas, PHL",Minglanilla,Townhouse,,48.0,3.0,2.0,2500000.0,10.24729751,123.81138369,https://www.lamudi.com.ph/property/41032-73-5de525f3bddf-d3fd-485de389-8715-1236,open_market
Lamudi,House For Sale in Tungkil,"Sitio Libo Rd, Mohon, Talisay, Cebu, Central Visayas, PHL",Minglanilla,House and Lot,,1500.0,5.0,5.0,27000000.0,10.24727772,123.82029265,https://www.lamudi.com.ph/property/41032-73-4359a9f9f054-7e57-f6668130-9e08-4111,open_market
Lamudi,House For Sale in Tunghaan,"Velmiro Heights Subdivision, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,82.0,4.0,3.0,6500000.0,10.2474493,123.7832969,https://www.lamudi.com.ph/property/41032-73-2201d2eb7243-bb4c-1971f77-bc31-76a9,open_market
Lamudi,House For Sale in Pakigne,"Calajoan Minglanilla cebu, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,158.0,4.0,3.0,15516928.0,10.2474951,123.8023601,https://www.lamudi.com.ph/property/41032-73-439930be11e6-3478-19c0fb3-833d-7675,open_market
Lamudi,Townhouse For Sale in Pakigne,"Tungkil, Minglanilla, Cebu, Central Visayas, PHL",Minglanilla,Townhouse,,55.0,,,2000000.0,10.247518,123.806844,https://www.lamudi.com.ph/property/41032-73-b54f586a29ed-9f21-19c03e9-8920-76df,open_market
Lamudi,House For Sale in Tungkil,"RIVER BREEZE SUBDIVISION, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,67.0,2.0,1.0,3436363.0,10.2481,123.8117142,https://www.lamudi.com.ph/property/41032-73-416180951db-390a-19b2c47-a7bb-75a5,open_market
Lamudi,House For Sale in Poblacion Ward IV,"Poblacion Ward IV, Minglanilla, Cebu, Central Visayas, PHL",Minglanilla,House and Lot,,100.0,4.0,2.0,9612650.0,10.24841673,123.7922101,https://www.lamudi.com.ph/property/41032-73-85e121923241-e957-19cdb17-bfea-715e,open_market
Lamudi,House For Sale in Poblacion Ward IV,"Poblacion Ward IV, Cebu, Pilipinas",Minglanilla,House and Lot,,535.0,8.0,4.0,40000000.0,10.2484715,123.78948,https://www.lamudi.com.ph/property/41032-73-7ce5190d0016-225c-1bb676d0-8060-4d77,open_market
Lamudi,Condo For Sale in Tangke,"Tangke, Lalawigan ng Cebu, Pilipinas",Talisay City,Condominium,,26.0,1.0,1.0,3407807.0,10.2494081,123.8585712,https://www.lamudi.com.ph/property/41032-73-b4c1d40e335d-61d6-2160bd2b-8df9-4d0b,open_market
Lamudi,Residential Lot For Sale in Dumlog,"Dumlog, Talisay, Lalawigan ng Cebu, Pilipinas",Talisay City,Vacant Lot,,200.0,,,2500000.0,10.2494847,123.8425243,https://www.lamudi.com.ph/property/41032-73-ed31f44b591c-7c49-19db970-b4d5-76c3,open_market
Lamudi,House For Sale in Tungkil,"Libo Road, Mohon, Talisay City, Cebu, Central Visayas, PHL",Minglanilla,House and Lot,,68.0,3.0,2.0,9288000.0,10.24958976,123.8190409,https://www.lamudi.com.ph/property/41032-73-a4d9907afc1d-b622-19dc004-ad70-7249,open_market
Lamudi,House For Sale in Dumlog,"Dawis Road, San Isidro, Talisay City, Cebu, Central Visayas, PHL",Talisay City,House and Lot,,1200.0,7.0,7.0,150000000.0,10.25048031,123.8406295,https://www.lamudi.com.ph/property/41032-73-91853839a1f9-64ae-ec047a4-a823-4a8f,open_market
Lamudi,Residential Lot For Sale in Mohon,"Mohon, Talisay, Lalawigan ng Cebu, Pilipinas",Talisay City,Vacant Lot,,250.0,,,3750000.0,10.2507362,123.8215894,https://www.lamudi.com.ph/property/41032-73-9657af838976-ff7d-19dd204-9e9f-7512,open_market
Lamudi,Townhouse For Sale in Mohon,"Mohon, Talisay, Cebu, Pilipinas",Talisay City,Townhouse,,47.0,2.0,2.0,4900000.0,10.2507362,123.8215894,https://www.lamudi.com.ph/property/41032-73-bb6b10191777-f187-19ddc13-a484-70a8,open_market
Lamudi,House For Sale in Tunghaan,"Minglanilla Cebu, Minglanilla, Lalawigan ng Cebu, Pilipinas",Minglanilla,House and Lot,,106.0,3.0,2.0,6709619.0,10.2511369,123.7810708,https://www.lamudi.com.ph/property/41032-73-47a5d9ad9062-5fb5-575711fc-96eb-4b1a,open_market
Lamudi,House For Sale in Cansojong,"Cebu South Coastal Road, Tangke, Talisay City, Cebu, Central Visayas, PHL",Talisay City,House and Lot,,309.0,4.0,4.0,36000000.0,10.25119,123.852961,https://www.lamudi.com.ph/property/41032-73-3b1c5365ed9e-686a-197f95e-a81a-737f,open_market
Lamudi,Land For Sale in Cansojong,"Cansojong, Talisay, Lalawigan ng Cebu, Pilipinas",Talisay City,Vacant Lot,,299.0,,,11000000.0,10.2518079,123.8541855,https://www.lamudi.com.ph/property/41032-73-c484242fae65-d45e-4f83ae96-a584-4c8b,open_market
Lamudi,House For Sale in Lawaan II,"Gentle Peace Subdivision, Talisay, Lalawigan ng Cebu, Pilipinas",Talisay City,House and Lot,,400.0,5.0,7.0,27000000.0,10.2519208,123.8340754,https://www.lamudi.com.ph/property/41032-73-353a6d573c06-33fa-19def10-a0c7-7406,open_market
Lamudi,Land For Sale in Talisay,"Cebu South Coastal Road, San Isidro, Talisay City, Cebu, Central Visayas, PHL",Talisay City,Vacant Lot,,131.0,,,5700000.0,10.2524493,123.83923341,https://www.lamudi.com.ph/property/41032-73-4edb06280480-85f9-196d25a-bf04-8042,open_market
